available_after_bans,cache_errors,cache_fetch_count,closed_trades,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
112,0,0,0,SYSTEM_HEALTH,0.0,0,0,0,112,2026-03-20 12:48:20
112,1,0,0,SYSTEM_HEALTH,17.693882942199707,0,0,0,112,2026-03-20 12:49:22
112,2,221,0,SYSTEM_HEALTH,14.599287986755371,0,0,0,112,2026-03-20 12:50:04
112,2,221,0,SYSTEM_HEALTH,14.574713945388794,0,0,0,112,2026-03-20 12:51:00
112,3,619,0,SYSTEM_HEALTH,15.693392515182495,0,0,0,112,2026-03-20 12:52:19
112,4,619,0,SYSTEM_HEALTH,18.789241313934326,0,0,0,112,2026-03-20 12:53:05
112,4,985,0,SYSTEM_HEALTH,19.510898113250732,0,0,0,112,2026-03-20 12:54:17
112,4,985,0,SYSTEM_HEALTH,19.460342407226562,1,0,2,112,2026-03-20 12:55:05
112,4,1163,0,SYSTEM_HEALTH,23.388334274291992,1,0,0,112,2026-03-20 12:56:01
112,5,1508,0,SYSTEM_HEALTH,21.085654735565186,1,0,0,112,2026-03-20 12:57:26
112,8,1508,0,SYSTEM_HEALTH,22.88568425178528,1,0,0,112,2026-03-20 12:58:23
112,8,1680,0,SYSTEM_HEALTH,24.722614526748657,2,0,2,112,2026-03-20 12:59:01
112,8,1860,0,SYSTEM_HEALTH,33.71937274932861,2,0,0,112,2026-03-20 13:00:10
112,9,1860,0,SYSTEM_HEALTH,17.943469285964966,2,0,0,112,2026-03-20 13:01:04
