available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
109,0,0,0,"['ws_public', 'ws_private']",DEGRADED,SYSTEM_HEALTH,0.0,0,0,0,109,2026-03-23 21:18:40
109,1,215,0,[],CONNECTED,SYSTEM_HEALTH,161.81045269966125,0,0,0,109,2026-03-23 21:21:33
109,2,554,0,[],CONNECTED,SYSTEM_HEALTH,147.41609954833984,0,0,0,109,2026-03-23 21:24:06
109,2,878,0,[],CONNECTED,SYSTEM_HEALTH,127.23023796081543,0,0,0,109,2026-03-23 21:26:18
109,2,1187,0,[],CONNECTED,SYSTEM_HEALTH,127.23023796081543,1,0,2,109,2026-03-23 21:28:30
109,2,1488,0,[],CONNECTED,SYSTEM_HEALTH,135.42623376846313,2,0,1,109,2026-03-23 21:30:50
109,2,1488,0,[],CONNECTED,SYSTEM_HEALTH,139.67339825630188,2,0,1,109,2026-03-23 21:31:03
109,2,1812,0,[],CONNECTED,SYSTEM_HEALTH,139.67339825630188,2,0,0,109,2026-03-23 21:33:10
109,2,2126,0,[],CONNECTED,SYSTEM_HEALTH,131.1925287246704,1,0,0,109,2026-03-23 21:35:40
109,2,2452,0,[],CONNECTED,SYSTEM_HEALTH,142.1466076374054,2,0,5,109,2026-03-23 21:38:15
109,2,2971,0,[],CONNECTED,SYSTEM_HEALTH,142.1466076374054,6,0,5,109,2026-03-23 21:41:38
