time,balance_total,balance_available,balance_used
2026-03-16 16:13:12,46966.72980849985,40734.9563960282,6226.607640427636
2026-03-16 16:13:17,46967.199424140206,40734.9563960282,6226.607640427636
2026-03-16 16:13:23,46966.72980849985,40734.9563960282,6226.607640427636
2026-03-16 16:13:28,46966.72980849985,40734.9563960282,6226.607640427636
2026-03-16 16:13:34,46965.77130307585,40734.9563960282,6225.649240427637
2026-03-16 16:13:39,46964.832090963115,40734.9563960282,6225.649240427637
2026-03-16 16:13:44,46965.77130307585,40734.9563960282,6225.649240427637
2026-03-16 16:13:50,46966.24090913221,40734.9563960282,6225.649240427637
2026-03-16 16:13:55,46951.51843079679,39785.99191461154,7159.893009994301
2026-03-16 16:14:01,46962.21570353902,38404.37889906154,8551.732509994301
2026-03-16 16:14:06,46985.43650140035,37651.005211944874,9328.323976660962
2026-03-16 16:14:11,46984.966708108455,37651.005211944874,9328.323976660962
2026-03-16 16:14:16,46984.966708108455,37651.005211944874,9328.323976660962
2026-03-16 16:14:22,46984.966708108455,37651.005211944874,9328.323976660962
2026-03-16 16:14:27,46986.610954059346,37651.005211944874,9329.498276660963
2026-03-16 16:14:33,46976.98588869458,37651.005211944874,9320.813776660963
2026-03-16 16:14:38,46979.14440951646,37651.005211944874,9322.502376660963
2026-03-16 16:14:44,46980.13583515058,37651.005211944874,9323.963376660964
2026-03-16 16:14:49,46978.67467444058,37211.02770081153,9762.479887794296
2026-03-16 16:14:54,46990.83314929693,36727.3281047782,10257.866821127618
2026-03-16 16:15:00,47012.54396221219,36727.3281047782,10279.105021127618
2026-03-16 16:15:05,47020.36957941019,36727.3281047782,10286.929621127618
2026-03-16 16:15:10,47021.66514017167,36727.3281047782,10289.165221127618
