block_reason,breakout_id,channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_distance_atr,entry_px,exchange_stop_status,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_health_state,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,stop_confirmed,stop_state,system_name,time,trade_context_file,trade_id,trough_price,units
,,8.21,канальный_выход_10_свечей,11994,0.019500000000000295,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_040802_ETC-USDT-SWAP_short.json,0.0,8.19,active,8.23,8.21,8.24,ETC-USDT-SWAP,0.08,0.976801,1.6,0.06,0.732601,1.2,8.23,28.97000000000041,1.0,-75.32199999999942,-0.7960808328230189,HEALTHY,9481.398166666666,115.88,Канальный выход 10 свечей,841.8469312958644,0.3900000000000059,short,True,ACTIVE,Turtle 20,2026-03-27 07:27:56,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_072756_ETC-USDT-SWAP_short_trade.json,20260327_040802_ETC-USDT-SWAP_short,8.13,4
position_absent_on_exchange,,0.17453,синхронизация:_позиция_отсутствует_на_бирже,3957,0.00021000000000000185,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_061333_XLM-USDT-SWAP_short.json,1.5238095238094482,0.1736,position_absent_on_exchange,0.17364,0.173646,0.17543,XLM-USDT-SWAP,0.00172,0.990783,0.939891,0.00078,0.449309,0.42623,0.17453,7.954650000009529,1.0,-7.855269999989827,-0.1604967210745841,STOP_UNVERIFIED,4901.6399,282.32,Синхронизация: позиция отсутствует на бирже,839.4575661848877,0.04200000000000037,short,False,ERROR,Turtle 20,2026-03-27 07:19:31,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_071931_XLM-USDT-SWAP_short_trade.json,20260327_061333_XLM-USDT-SWAP_short,0.17318,2
position_absent_on_exchange,,0.05569,синхронизация:_позиция_отсутствует_на_бирже,9601,7.199999999999915e-05,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_042156_MINA-USDT-SWAP_long.json,1.527777777777782,0.05597,position_absent_on_exchange,0.0554,0.055891,0.05552,MINA-USDT-SWAP,0.00042,0.750402,0.933333,7e-05,0.125067,0.155556,0.05602,2.8591500000000254,1.0,-22.05629999999995,-0.965319985698961,STOP_UNVERIFIED,2286.09465,40845.0,Синхронизация: позиция отсутствует на бирже,841.1277238857988,0.0001439999999999983,long,False,ERROR,Turtle 20,2026-03-27 07:01:58,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_070158_MINA-USDT-SWAP_long_trade.json,20260327_042155_MINA-USDT-SWAP_long,0.05574,1
position_absent_on_exchange,,0.1471,синхронизация:_позиция_отсутствует_на_бирже,2115,0.00012000000000000067,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_061828_IMX-USDT-SWAP_long.json,2.4999999999999423,0.1487,position_absent_on_exchange,0.1485,0.14909,0.1468,IMX-USDT-SWAP,0.0016,1.075992,0.842105,0.0007,0.470746,0.368421,0.1494,8.679999999982996,1.0,-43.18610000001784,-0.4604511436251835,STOP_UNVERIFIED,9363.475516666676,62868.0,Синхронизация: позиция отсутствует на бирже,839.6361809856294,0.00024000000000000133,long,False,ERROR,Turtle 55,2026-03-27 06:53:43,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_065343_IMX-USDT-SWAP_long_trade.json,20260327_061827_IMX-USDT-SWAP_long,0.1487,4
position_absent_on_exchange,,0.2889,синхронизация:_позиция_отсутствует_на_бирже,982,0.0005650000000000016,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_061830_LDO-USDT-SWAP_short.json,0.35398230088501403,0.2874,position_absent_on_exchange,0.2883,0.28778000000000004,0.2899,LDO-USDT-SWAP,0.0023,0.800278,0.92,0.0011,0.382742,0.44,0.2874,0.0,1.0,-22.51379999999972,-0.48819716384288075,STOP_UNVERIFIED,4614.8403,16074.0,Синхронизация: позиция отсутствует на бирже,839.5864333576761,0.0011300000000000032,short,False,ERROR,Turtle 20,2026-03-27 06:34:52,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_063452_LDO-USDT-SWAP_short_trade.json,20260327_061830_LDO-USDT-SWAP_short,0.2867,2
,,4.302,канальный_выход_20_свечей,7924,0.0014000000000000234,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_042150_KSM-USDT-SWAP_long.json,2.857142857143129,4.291,active,4.302,4.302,4.255,KSM-USDT-SWAP,0.029,0.675833,0.805556,0.027,0.629224,0.75,4.318,45.054100000000794,1.0,6.24609999999932,0.06738796382844765,HEALTHY,9259.222066666669,21560.0,Канальный выход 20 свечей,841.7593557986872,0.0002800000000000047,long,True,ACTIVE,Turtle 55,2026-03-27 06:33:54,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_063354_KSM-USDT-SWAP_long_trade.json,20260327_042150_KSM-USDT-SWAP_long,4.291,4
,,0.0368,канальный_выход_10_свечей,17117,0.00022000000000000006,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_014759_YGG-USDT-SWAP_long.json,0.4545454545454359,0.0338,active,0.0368,0.0368,0.0297,YGG-USDT-SWAP,0.0038,11.242604,0.926829,0.0033,9.763314,0.804878,0.037,795.9203999995409,1.0,705.2579999995404,6.770912478421261,HEALTHY,10281.252800000133,302208.0,Канальный выход 10 свечей,838.2805984945272,0.0004400000000000001,long,True,ACTIVE,Turtle 20,2026-03-27 06:33:16,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_063316_YGG-USDT-SWAP_long_trade.json,20260327_014759_YGG-USDT-SWAP_long,0.0338,4
,,8.901,rotation_block,2899,0.007599999999999963,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_053933_LINK-USDT-SWAP_long.json,0.0,8.954,active,8.914,8.9399,8.876,LINK-USDT-SWAP,0.071,0.792942,0.910256,0.019,0.212196,0.24359,8.954,0.2510199999998609,1.0,-9.287740000000204,-0.41336163557145356,HEALTHY,2247.63308,251.02,Ротация под новый сигнал BCH-USDT-SWAP,838.7495559798122,0.015199999999999925,long,True,ACTIVE,Turtle 55,2026-03-27 06:27:52,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_062752_LINK-USDT-SWAP_long_trade.json,20260327_053933_LINK-USDT-SWAP_long,8.906,1
exchange_stop_health_recheck,,3.473,sync_confirmed_close_after_stop_fault:_pending_recheck,23589,0.020049999999999946,,0.0,2.802389195148842,active,3.35,2.827189195148842,2.829889195148842,NEO-USDT-SWAP,0.6706108,23.929967,24.385847,0.0213892,0.763249,0.777789,3.401,0.0,0.0,-397.5654443219406,-19.5408548462546,STOP_UNVERIFIED,0.0,726.0,SYNC confirmed close after stop fault: PENDING_RECHECK,0.0,0.0,short,False,PENDING_RECHECK,Turtle 20,2026-03-27 06:15:58,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_061558_NEO-USDT-SWAP_short_trade.json,20260327_042414_NEO-USDT-SWAP_short,2.802389195148842,1
,,0.0594,канальный_выход_10_свечей,6757,6.799999999999931e-05,D:\GIT\okx-trading-bot\v11x\v113\logs\entry_context\20260327_041717_CFX-USDT-SWAP_long.json,1.1764705882352582,0.05925,active,0.05926,0.0594,0.05873,CFX-USDT-SWAP,0.00048,0.810127,0.923077,0.00048,0.810127,0.923077,0.05948,23.48659999998074,1.0,-7.357400000019072,-0.08044008755082616,HEALTHY,9140.48520000001,15422.0,Канальный выход 10 свечей,841.2995032861717,0.0013599999999999862,long,True,ACTIVE,Turtle 20,2026-03-27 06:09:54,D:\GIT\okx-trading-bot\v11x\v113\logs\trade_context\20260327_060954_CFX-USDT-SWAP_long_trade.json,20260327_041717_CFX-USDT-SWAP_long,0.05925,4
