cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.302,False,,,,False,,short,5m,2026-03-27 07:03:55
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2883,False,,,,False,,long,5m,2026-03-27 07:03:57
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2883,False,,,,False,,short,5m,2026-03-27 07:03:57
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0558,False,,,,False,,long,5m,2026-03-27 07:04:10
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0558,False,,,,False,,short,5m,2026-03-27 07:04:10
False,,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.9259,False,,,,False,,long,5m,2026-03-27 07:04:36
False,,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.9259,False,,,,False,,short,5m,2026-03-27 07:04:36
False,,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2173,False,,,,False,,long,5m,2026-03-27 07:04:38
False,,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2173,False,,,,False,,short,5m,2026-03-27 07:04:38
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.247,False,,,,False,,long,5m,2026-03-27 07:04:41
False,,,reentry_check,True,ok,TON-USDT-SWAP,,,1.247,False,,,,False,,short,5m,2026-03-27 07:04:41
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,long,5m,2026-03-27 07:04:46
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,short,5m,2026-03-27 07:04:46
False,True,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0367,True,,,,False,,long,5m,2026-03-27 07:05:00
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0367,False,,,,False,,short,5m,2026-03-27 07:05:00
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0913,False,,,,False,,long,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0913,False,,,,False,,short,5m,2026-03-27 07:07:04
,,,reentry_check,True,scan,1INCH-USDT-SWAP,,,0.0913,False,0.0,,,,,scan,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.59,False,,,,False,,long,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.59,False,,,,False,,short,5m,2026-03-27 07:07:04
,,,reentry_check,True,scan,AAVE-USDT-SWAP,,,105.59,False,0.0,,,,,scan,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2534,False,,,,False,,long,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2534,False,,,,False,,short,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0837,False,,,,False,,long,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0837,False,,,,False,,short,5m,2026-03-27 07:07:04
,,,reentry_check,True,scan,ALGO-USDT-SWAP,,,0.0837,False,0.0,,,,,scan,5m,2026-03-27 07:07:04
False,,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1678,False,,,,False,,long,5m,2026-03-27 07:07:13
False,,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1678,False,,,,False,,short,5m,2026-03-27 07:07:13
,,,reentry_check,True,scan,AXS-USDT-SWAP,,,1.1678,False,0.0,,,,,scan,5m,2026-03-27 07:07:13
False,,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05924,False,,,,False,,long,5m,2026-03-27 07:07:31
False,,,reentry_check,True,ok,CFX-USDT-SWAP,,,0.05924,False,,,,False,,short,5m,2026-03-27 07:07:31
False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03516,False,,,,False,,long,5m,2026-03-27 07:07:32
False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03516,False,,,,False,,short,5m,2026-03-27 07:07:32
,,,reentry_check,True,scan,CHZ-USDT-SWAP,,,0.03516,False,0.0,,,,,scan,5m,2026-03-27 07:07:32
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.867,False,,,,False,,long,5m,2026-03-27 07:07:46
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.867,False,,,,False,,short,5m,2026-03-27 07:07:46
,,,reentry_check,True,scan,FIL-USDT-SWAP,,,0.867,False,0.9,,,,,scan,5m,2026-03-27 07:07:46
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.956,False,,,,False,,long,5m,2026-03-27 07:08:00
False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.956,False,,,,False,,short,5m,2026-03-27 07:08:00
,,,reentry_check,True,scan,INJ-USDT-SWAP,,,2.956,False,0.9,,,,,scan,5m,2026-03-27 07:08:00
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3896,False,,,,False,,long,5m,2026-03-27 07:08:04
False,,,reentry_check,True,ok,KAITO-USDT-SWAP,,,0.3896,False,,,,False,,short,5m,2026-03-27 07:08:04
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2874,False,,,,False,,long,5m,2026-03-27 07:08:07
False,,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.2874,False,,,,False,,short,5m,2026-03-27 07:08:07
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0554,False,,,,False,,long,5m,2026-03-27 07:08:20
False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.0554,False,,,,False,,short,5m,2026-03-27 07:08:20
,,,reentry_check,True,scan,MINA-USDT-SWAP,,,0.0554,False,1.6,,,,,scan,5m,2026-03-27 07:08:20
False,,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.922,False,,,,False,,long,5m,2026-03-27 07:08:46
False,,,reentry_check,True,ok,SUI-USDT-SWAP,,,0.922,False,,,,False,,short,5m,2026-03-27 07:08:46
,,,reentry_check,True,scan,SUI-USDT-SWAP,,,0.922,False,0.0,,,,,scan,5m,2026-03-27 07:08:46
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,long,5m,2026-03-27 07:08:56
False,,,reentry_check,True,ok,TSLA-USDT-SWAP,,,375.48,False,,,,False,,short,5m,2026-03-27 07:08:56
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0367,False,,,,False,,long,5m,2026-03-27 07:09:08
False,,,reentry_check,True,ok,YGG-USDT-SWAP,,,0.0367,False,,,,False,,short,5m,2026-03-27 07:09:08
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0912,False,,,,False,,long,5m,2026-03-27 07:11:34
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0912,False,,,,False,,short,5m,2026-03-27 07:11:34
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.22,False,,,,False,,long,5m,2026-03-27 07:11:38
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,105.22,False,,,,False,,short,5m,2026-03-27 07:11:38
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2534,False,,,,False,,long,5m,2026-03-27 07:11:41
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2534,False,,,,False,,short,5m,2026-03-27 07:11:41
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,long,5m,2026-03-27 07:11:46
False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0834,False,,,,False,,short,5m,2026-03-27 07:11:46
