atr,avg_entry_price,event_type,inst_id,mae_pct,mfe_pct,next_unit_level,pnl_pct,pnl_usd,position_age_sec,price,qty_total,reason,reason_code,side,stop_price,timestamp,trade_id,units
0.0,0.0,TRAIL_UPDATE,ETH-USDT-SWAP,0.0,0.0,0.0,0.0,-4.622200000000198,0,2146.0,12.1,Стоп подтянут на 13.223000,unknown,long,2147.0,2026-03-15 09:00:17,20260315_084540_ETH-USDT-SWAP_long,1
0.425,660.0,SNAPSHOT,BNB-USDT-SWAP,0.0,0.0,660.32,-0.10606060606061295,-2.730000000000177,877,659.3,390.0,Минутный snapshot позиции,,long,659.22,2026-03-15 09:00:18,20260315_084541_BNB-USDT-SWAP_long,1
0.0,0.0,CLOSE,ETH-USDT-SWAP,0.0,0.0,0.0,0.0,-4.622200000000198,0,2146.0,12.1,ATR стоп 2.0N,stopout_cooldown,long,2147.0,2026-03-15 09:00:18,20260315_084540_ETH-USDT-SWAP_long,1
0.0,0.0,TRAIL_UPDATE,BNB-USDT-SWAP,0.0,0.0,0.0,0.0,-2.730000000000177,0,659.2,390.0,Стоп подтянут на 0.780000,unknown,long,660.0,2026-03-15 09:00:19,20260315_084541_BNB-USDT-SWAP_long,1
0.0,0.0,CLOSE,BNB-USDT-SWAP,0.0,0.0,0.0,0.0,-2.730000000000177,0,659.2,390.0,ATR стоп 2.0N,stopout_cooldown,long,660.0,2026-03-15 09:00:20,20260315_084541_BNB-USDT-SWAP_long,1
0.0,0.0,session_stop,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,unknown,,0.0,2026-03-15 09:01:05,,0
