cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.1017,False,,,,False,,long,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.1017,False,,,,False,,short,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0833,False,,,,False,,long,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0833,False,,,,False,,short,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,A-USDT-SWAP,,,0.0824,False,,,,False,,long,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,A-USDT-SWAP,,,0.0824,False,,,,False,,short,5m,2026-03-16 17:12:39
False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,121.63,False,,,,False,,long,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,121.63,False,,,,False,,short,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01443,False,,,,False,,long,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01443,False,,,,False,,short,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.1996,False,,,,False,,long,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.1996,False,,,,False,,short,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,AI16Z-USDT-SWAP,,,0.05902,False,,,,False,,long,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,AI16Z-USDT-SWAP,,,0.05902,False,,,,False,,short,5m,2026-03-16 17:12:40
False,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0952,False,,,,False,,long,5m,2026-03-16 17:12:41
False,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.0952,False,,,,False,,short,5m,2026-03-16 17:12:41
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1081,False,,,,False,,long,5m,2026-03-16 17:12:41
False,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1081,False,,,,False,,short,5m,2026-03-16 17:12:41
,,reentry_check,True,scan,ARB-USDT-SWAP,,,0.1081,False,0.0,,,,,scan,5m,2026-03-16 17:12:41
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.7314,False,,,,False,,long,5m,2026-03-16 17:12:42
False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.7314,False,,,,False,,short,5m,2026-03-16 17:12:42
False,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.917,False,,,,False,,long,5m,2026-03-16 17:12:42
False,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.917,False,,,,False,,short,5m,2026-03-16 17:12:42
,,reentry_check,True,scan,ATOM-USDT-SWAP,,,1.917,False,0.0,,,,,scan,5m,2026-03-16 17:12:43
False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.919,False,,,,False,,long,5m,2026-03-16 17:12:43
False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.919,False,,,,False,,short,5m,2026-03-16 17:12:43
False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,7.231,False,,,,False,,long,5m,2026-03-16 17:12:43
False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,7.231,False,,,,False,,short,5m,2026-03-16 17:12:43
