add_qty,atr,avg_px,distance_to_next_add_atr,event,has_locked_break_even,inst_id,last_price,mfe_r,next_pyramid_price,note,proposed_qty,qty,reason_blocked,side,stop_price,trade_id,ts,units,unrealized_r
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773670867777'}], 'inTime': '1773670867777214', 'msg': 'All operations failed', 'outTime': '1773670867778392'}",18820.0,18820.0,order_rejected,short,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:21:08,1,
1083.0,0.0008750000000000001,0.10695,0.985714,pyramid_added,True,ENA-USDT-SWAP,0.1063,0.270833,0.10586250000000001,,,2166.0,,short,0.10690625000000001,20260316_172104_ENA-USDT-SWAP_short,2026-03-16 17:21:21,2,0.270833
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773670922489'}], 'inTime': '1773670922489169', 'msg': 'All operations failed', 'outTime': '1773670922490423'}",18820.0,18820.0,order_rejected,short,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:22:02,1,
4000.0,9.250000000000039e-05,0.0296725,0.043243,pyramid_added,False,LRC-USDT-SWAP,0.029685,0.19084,0.02973125,,,8000.0,,long,0.029677125000000002,20260316_171316_LRC-USDT-SWAP_long,2026-03-16 17:22:05,2,0.063613
2.0,0.0008750000000000001,0.2122,0.071429,pyramid_added,True,ENA-USDT-SWAP,0.1061,1.021562,0.1056625,,,2.0,,short,0.10669375,20260316_172159_ENA-USDT-SWAP_short,2026-03-16 17:22:18,2,1.01677
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773670976571'}], 'inTime': '1773670976570478', 'msg': 'All operations failed', 'outTime': '1773670976571959'}",18820.0,18820.0,order_rejected,short,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:22:56,1,
2.0,0.0008750000000000001,0.10536000000000004,1.214286,pyramid_added,True,ENA-USDT-SWAP,0.1046,0.305221,0.1041625,,,5.0,,short,0.10505375000000004,20260316_172159_ENA-USDT-SWAP_short,2026-03-16 17:23:12,3,0.305221
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671036064'}], 'inTime': '1773671036064185', 'msg': 'All operations failed', 'outTime': '1773671036065362'}",18820.0,18820.0,order_rejected,short,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:23:56,1,
2.0,0.0008750000000000001,0.01557146776406038,0.642857,pyramid_added,True,ENA-USDT-SWAP,0.1043296296296299,-0.953944,0.1038921296296299,,,54.0,,short,0.01495896776406038,20260316_172159_ENA-USDT-SWAP_short,2026-03-16 17:24:08,4,-0.961851
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671090767'}], 'inTime': '1773671090766769', 'msg': 'All operations failed', 'outTime': '1773671090768073'}",18820.0,18820.0,order_rejected,short,0.0029317787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:24:51,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671148244'}], 'inTime': '1773671148243898', 'msg': 'All operations failed', 'outTime': '1773671148245195'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:25:48,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671205823'}], 'inTime': '1773671205822539', 'msg': 'All operations failed', 'outTime': '1773671205823802'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:26:46,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671256109'}], 'inTime': '1773671256108959', 'msg': 'All operations failed', 'outTime': '1773671256110189'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:27:36,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671310922'}], 'inTime': '1773671310921607', 'msg': 'All operations failed', 'outTime': '1773671310922960'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:28:31,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671363686'}], 'inTime': '1773671363686316', 'msg': 'All operations failed', 'outTime': '1773671363687648'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:29:24,1,
,0.000316,0.0022997787153212,,pyramid_blocked,False,RAVE-USDT-SWAP,0.00182,,0.0021417787153212,"{'code': '1', 'data': [{'clOrdId': '', 'ordId': '', 'sCode': '51004', 'sMsg': 'Order failed. For buy/sell mode of RAVE-USDT-SWAP, the sum of current sell order size, position quantity, and pending sell orders can’t be more than 27,000(contracts) which is the maximum position amount under current leverage. Please lower the leverage or use a new sub-account to place the order again (current leverage: 5×, current sell order size: 18,820 contracts, position quantity: -18,820 contracts, pending sell orders: 0 contracts).', 'subCode': '1105', 'tag': '', 'ts': '1773671415236'}], 'inTime': '1773671415235472', 'msg': 'All operations failed', 'outTime': '1773671415236889'}",18820.0,18820.0,order_rejected,short,0.0022997787153212,20260316_171238_RAVE-USDT-SWAP_short,2026-03-16 17:30:15,1,
12.55,0.09849999999999284,94.03250000000001,0.862944,pyramid_added,False,SOL-USDT-SWAP,94.065,0.458824,94.11425,,,25.1,,long,94.03742500000001,20260316_172013_SOL-USDT-SWAP_long,2026-03-16 17:30:25,2,0.152941
