channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_px,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,system_name,time,trade_context_file,trade_id,trough_price,units
1.0126,защита_тренда:_откат_от_пика_944.88r_→_102.38r,51,1.9999999999997796e-05,,1.0089049966666679,1.013,1.0088649966666678,1.0088649966666678,BREV-USDT-SWAP,0.0,0.0,0.0,0.004095,0.405886,102.375083,1.0467,453.54003999998497,0.0,49.140039999984175,0.4058859205635357,0.0,120000.0,Защита тренда: откат от пика 944.88R → 102.38R,0.0,0.0,long,Turtle 20,2026-03-16 17:48:52,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174852_BREV-USDT-SWAP_long_trade.json,20260316_174800_BREV-USDT-SWAP_long,1.0089049966666679,1
0.10405,локальный_защитный_выход_2.0n,50,3.800000000000053e-05,,0.1026926093294466,0.10395,0.1027686093294466,0.1027686093294466,CRO-USDT-SWAP,0.00135739,1.3218,17.860404,0.00017261,0.168083,2.271175,0.10395,0.0,0.0,-119.54013104951188,-1.2244217755920346,0.0,9507.0,Локальный защитный выход 2.0N,0.0,0.0,short,Turtle 20,2026-03-16 17:48:50,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174850_CRO-USDT-SWAP_short_trade.json,20260316_174759_CRO-USDT-SWAP_short,0.1026926093294466,1
0.00182,канальный_выход_10_свечей,49,0.000316,,0.0022997787153212,0.00182,0.0029317787153212,0.0029317787153212,RAVE-USDT-SWAP,0.00549022,238.728241,8.687059,0.00047978,20.861951,0.759144,0.00237,0.0,0.0,42.997268537664574,20.86195128796082,0.0,18820.0,Канальный выход 10 свечей,0.0,0.0,short,Turtle 20,2026-03-16 17:48:49,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174849_RAVE-USDT-SWAP_short_trade.json,20260316_174759_RAVE-USDT-SWAP_short,0.00182,1
1.0126,защита_тренда:_откат_от_пика_962.38r_→_102.38r,85,1.9999999999997796e-05,,1.0089049966666679,1.013,1.0088649966666678,1.0088649966666678,BREV-USDT-SWAP,0.0,0.0,0.0,0.004095,0.405886,102.375083,1.0474,461.9400399999867,0.0,49.140039999984175,0.4058859205635357,0.0,120000.0,Защита тренда: откат от пика 962.38R → 102.38R,0.0,0.0,long,Turtle 20,2026-03-16 17:47:53,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174753_BREV-USDT-SWAP_long_trade.json,20260316_174628_BREV-USDT-SWAP_long,1.0089049966666679,1
0.10405,локальный_защитный_выход_2.0n,83,3.800000000000053e-05,,0.1026926093294466,0.10395,0.1027686093294466,0.1027686093294466,CRO-USDT-SWAP,0.00135739,1.3218,17.860404,0.00017261,0.168083,2.271175,0.10395,0.0,0.0,-119.54013104951188,-1.2244217755920346,0.0,9507.0,Локальный защитный выход 2.0N,0.0,0.0,short,Turtle 20,2026-03-16 17:47:51,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174751_CRO-USDT-SWAP_short_trade.json,20260316_174628_CRO-USDT-SWAP_short,0.1026926093294466,1
0.00182,канальный_выход_10_свечей,81,0.000316,,0.0022997787153212,0.00182,0.0029317787153212,0.0029317787153212,RAVE-USDT-SWAP,0.00549022,238.728241,8.687059,0.00047978,20.861951,0.759144,0.00237,0.0,0.0,42.997268537664574,20.86195128796082,0.0,18820.0,Канальный выход 10 свечей,0.0,0.0,short,Turtle 20,2026-03-16 17:47:50,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174750_RAVE-USDT-SWAP_short_trade.json,20260316_174628_RAVE-USDT-SWAP_short,0.00182,1
0.1025,stopout_cooldown,571,0.0035150000000000016,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\entry_context\20260316_173807_1INCH-USDT-SWAP_short.json,0.1013,0.1016,0.09838855555555566,0.10833000000000001,1INCH-USDT-SWAP,0.0012,1.1846,0.170697,0.005,4.935834,0.711238,0.1016,42.26740000001109,1.0,-77.86099999998865,-2.350570852921073,3357.662933333337,33369.0,ATR стоп 2.0N,439.8594953889382,0.007030000000000003,short,Turtle 55,2026-03-16 17:47:38,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174738_1INCH-USDT-SWAP_short_trade.json,20260316_173806_1INCH-USDT-SWAP_short,0.0975,3
1.0126,защита_тренда:_откат_от_пика_899.88r_→_102.38r,64,1.9999999999997796e-05,,1.0089049966666679,1.013,1.0088649966666678,1.0088649966666678,BREV-USDT-SWAP,0.0,0.0,0.0,0.004095,0.405886,102.375083,1.0449,431.94003999998466,0.0,49.140039999984175,0.4058859205635357,0.0,120000.0,Защита тренда: откат от пика 899.88R → 102.38R,0.0,0.0,long,Turtle 20,2026-03-16 17:46:18,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174618_BREV-USDT-SWAP_long_trade.json,20260316_174514_BREV-USDT-SWAP_long,1.0089049966666679,1
0.10405,локальный_защитный_выход_2.0n,62,3.800000000000053e-05,,0.1026926093294466,0.10395,0.1027686093294466,0.1027686093294466,CRO-USDT-SWAP,0.00135739,1.3218,17.860404,0.00017261,0.168083,2.271175,0.10395,0.0,0.0,-119.54013104951188,-1.2244217755920346,0.0,9507.0,Локальный защитный выход 2.0N,0.0,0.0,short,Turtle 20,2026-03-16 17:46:16,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174616_CRO-USDT-SWAP_short_trade.json,20260316_174514_CRO-USDT-SWAP_short,0.1026926093294466,1
0.2377,stopout_cooldown,682,0.0007750000000000007,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\entry_context\20260316_173443_BAND-USDT-SWAP_short.json,0.2348592765957447,0.2362,0.2348592765957447,0.2364092765957447,BAND-USDT-SWAP,0.00284072,1.209543,1.832725,0.00135928,0.578762,0.876953,0.2362,0.0,1.0,-6.301399999999835,-0.5708624431144042,1103.8386,4700.0,ATR стоп 2.0N,439.9741370250108,0.0015500000000000015,short,Turtle 55,2026-03-16 17:46:05,D:\GIT\okx-trading-bot\v08x\085\085_2\logs\trade_context\20260316_174605_BAND-USDT-SWAP_short_trade.json,20260316_173443_BAND-USDT-SWAP_short,0.2347,1
