details,event_type,inst_id,reason_code,timestamp
"{""ts"": ""2026-03-15 14:37:55"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 15, ""blocked_count"": 14, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 7, ""hard_blocked_unique_count"": 22, ""execution_watchlist_count"": 0, ""open_positions_count"": 7, ""available_after_bans_count"": 93, ""trade_ready_count"": 86, ""signal_funnel"": {""cycle_id"": 91, ""instruments_scanned"": 93, ""prefilter_skipped"": 22, ""warmup_rejected"": 16, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 76, ""other_rejected"": 2, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 14:37:55
,filter_diagnostics,,unknown,2026-03-15 14:53:09
"{""ts"": ""2026-03-15 14:53:09"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 15, ""blocked_count"": 14, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 12, ""hard_blocked_unique_count"": 27, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 88, ""trade_ready_count"": 85, ""signal_funnel"": {""cycle_id"": 108, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 14:53:09
,filter_diagnostics,,unknown,2026-03-15 15:08:11
"{""ts"": ""2026-03-15 15:08:11"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 16, ""blocked_count"": 15, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 11, ""hard_blocked_unique_count"": 27, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 88, ""trade_ready_count"": 87, ""signal_funnel"": {""cycle_id"": 122, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 15:08:11
,filter_diagnostics,,unknown,2026-03-15 15:23:35
"{""ts"": ""2026-03-15 15:23:35"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 16, ""blocked_count"": 15, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 8, ""hard_blocked_unique_count"": 24, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 91, ""trade_ready_count"": 88, ""signal_funnel"": {""cycle_id"": 135, ""instruments_scanned"": 96, ""prefilter_skipped"": 19, ""warmup_rejected"": 18, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 79, ""other_rejected"": 1, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 15:23:35
,filter_diagnostics,,unknown,2026-03-15 15:38:41
"{""ts"": ""2026-03-15 15:38:41"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 16, ""blocked_count"": 15, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 5, ""hard_blocked_unique_count"": 21, ""execution_watchlist_count"": 0, ""open_positions_count"": 7, ""available_after_bans_count"": 94, ""trade_ready_count"": 88, ""signal_funnel"": {""cycle_id"": 150, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 15:38:41
,filter_diagnostics,,unknown,2026-03-15 15:53:43
