atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
0.014435,1.468653,0.76259,0.831313,0.2728,1.371666,0.831313,0.831313,0.2926,0.2728,minimal,0.2608,breakout_quality,True,ETHW-USDT-SWAP,short,Turtle 20,5m,2026-03-15 13:07:40
0.00445,1.123596,0.714286,1.123596,2.663,20.674157,1.123596,1.123596,2.663,2.571,minimal,2.668,breakout_quality,True,NEO-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:10:59
0.00026,1.538462,1.0,1.923077,0.3799,15.769231,1.923077,1.923077,0.3799,0.3758,minimal,0.3804,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:20:05
0.00016,1.875,0.428571,0.625,0.1024,10.625,0.625,0.625,0.1024,0.1007,minimal,0.1025,breakout_quality,True,ARB-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:21:29
0.00985,10.659898,0.59322,9.746193,2.289,2.335025,9.746193,9.746193,2.289,2.266,minimal,2.385,breakout_quality,True,LPT-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:21:50
0.00985,10.659898,0.59322,9.746193,2.289,2.335025,9.746193,9.746193,2.289,2.266,minimal,2.385,breakout_quality,True,LPT-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:23:36
0.00026,1.538462,1.0,1.923077,0.3799,15.769231,1.923077,1.923077,0.3799,0.3758,minimal,0.3804,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:23:56
0.000595,1.176471,1.0,1.176471,0.4524,10.252101,1.176471,1.176471,0.4524,0.4463,minimal,0.4531,breakout_quality,True,MASK-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:25:22
10.5365,0.637783,0.926897,0.302757,2132.19,6.513548,0.302757,0.302757,2200.82,2132.19,minimal,2129.0,breakout_quality,True,ETH-USDT-SWAP,short,Turtle 20,5m,2026-03-15 13:27:28
0.0032,0.3125,0.5,0.625,0.924,14.375,0.625,0.625,0.924,0.878,minimal,0.926,breakout_quality,True,QTUM-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:35:29
0.007,1.0,0.078652,0.714286,2.664,3.0,0.714286,0.714286,2.685,2.664,minimal,2.659,breakout_quality,True,ICP-USDT-SWAP,short,Turtle 20,5m,2026-03-15 13:35:49
3.3e-07,1.109445,0.770833,0.089955,7.3e-06,2.068966,0.089955,0.089955,7.3e-06,6.61e-06,minimal,7.33e-06,breakout_quality,True,SHIB-USDT-SWAP,long,Turtle 20,5m,2026-03-15 13:36:09
0.0032,4.375,0.4375,0.0,0.926,15.0,5.0,0.0,0.926,0.878,minimal,0.926,breakout_quality,True,QTUM-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:40:15
0.00525,4.190476,1.0,2.095238,4.472,17.714286,2.095238,2.095238,4.472,4.379,minimal,4.483,breakout_quality,True,KSM-USDT-SWAP,long,Turtle 55,5m,2026-03-15 13:42:22
