cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,long,5m,2026-03-20 14:34:20
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,short,5m,2026-03-20 14:34:20
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.88,False,,,,False,,long,5m,2026-03-20 14:34:20
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.88,False,,,,False,,short,5m,2026-03-20 14:34:20
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,long,5m,2026-03-20 14:34:40
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,short,5m,2026-03-20 14:34:40
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.88,False,,,,False,,long,5m,2026-03-20 14:34:41
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.88,False,,,,False,,short,5m,2026-03-20 14:34:41
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2684,False,,,,False,,long,5m,2026-03-20 14:34:41
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2684,False,,,,False,,short,5m,2026-03-20 14:34:41
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,long,5m,2026-03-20 14:35:02
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0962,False,,,,False,,short,5m,2026-03-20 14:35:02
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.84,False,,,,False,,long,5m,2026-03-20 14:35:02
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.84,False,,,,False,,short,5m,2026-03-20 14:35:02
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2686,False,,,,False,,long,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2686,False,,,,False,,short,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1008,False,,,,False,,long,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1008,False,,,,False,,short,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6823,False,,,,False,,long,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6823,False,,,,False,,short,5m,2026-03-20 14:35:03
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0961,False,,,,False,,long,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0961,False,,,,False,,short,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.84,False,,,,False,,long,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,111.84,False,,,,False,,short,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2686,False,,,,False,,long,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2686,False,,,,False,,short,5m,2026-03-20 14:35:24
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.1007,False,,,,False,,long,5m,2026-03-20 14:35:25
