channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_px,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,system_name,time,trade_context_file,trade_id,trough_price,units
658.2,stopout_cooldown,879,0.43999999999999206,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_084541_BNB-USDT-SWAP_long.json,660.1,659.2,660.0,659.22,BNB-USDT-SWAP,3.5,0.530223,3.977273,0.5,0.075746,0.568182,660.1,0.0,1.0,-3.119999999999823,-0.12121212121211433,2574.39,390.0,ATR стоп 2.0N,751.2401018273304,0.008799999999999841,long,Turtle 20,2026-03-15 09:00:20,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_090020_BNB-USDT-SWAP_long_trade.json,20260315_084541_BNB-USDT-SWAP_long,659.2,1
2116.29,stopout_cooldown,878,6.611499999999978,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_084540_ETH-USDT-SWAP_long.json,2147.0,2146.0,2147.0,2133.777,ETH-USDT-SWAP,36.4,1.695389,2.752779,3.1,0.144388,0.23444,2147.0,0.0,1.0,-1.21,-0.04657661853749417,2597.8700000000003,12.1,ATR стоп 2.0N,751.2699134562489,1.3222999999999958,long,Turtle 55,2026-03-15 09:00:18,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_090018_ETH-USDT-SWAP_long_trade.json,20260315_084540_ETH-USDT-SWAP_long,2140.0,1
0.05686,защита_тренда:_откат_от_пика_1.90r_→_0.49r,41,0.0027304999999999994,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_085552_CFX-USDT-SWAP_long.json,0.06112,0.05847,0.055659,0.055659,CFX-USDT-SWAP,0.00472,7.722513,0.864311,0.0,0.0,0.0,0.06112,18.999899999999958,1.0,39.26646000000001,1.6162669447340985,2580.60864,4222.2,Защита тренда: откат от пика 1.90R → 0.49R,751.1047458900803,0.05460999999999999,long,Turtle 20,2026-03-15 08:56:33,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_085633_CFX-USDT-SWAP_long_trade.json,20260315_085552_CFX-USDT-SWAP_long,0.05754,1
2.571,канальный_выход_10_свечей,3285,0.0016500000000000624,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_075534_NEO-USDT-SWAP_short.json,2.574,2.571,2.5710196850393703,2.5773,NEO-USDT-SWAP,0.009,0.34965,2.727273,0.028,1.087801,8.484848,2.574,4.084000000000035,1.0,0.020000000000031548,0.0007656510560637092,2615.1839999999997,1016.0,Канальный выход 10 свечей,757.0187829784026,0.003300000000000125,short,Turtle 20,2026-03-15 08:50:19,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_085019_NEO-USDT-SWAP_short_trade.json,20260315_075534_NEO-USDT-SWAP_short,2.571,1
0.2328,stopout_cooldown,962,0.014215,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_082100_CRV-USDT-SWAP_long.json,0.2542,0.2345,0.2390809766022381,0.22576999999999997,CRV-USDT-SWAP,0.0214,8.418568,0.752726,0.0003,0.118017,0.010552,0.2542,127.97699999999945,1.0,-45.031000000000596,-1.9160774175101072,2498.7859999999996,9830.0,ATR стоп 2.0N,754.688985775474,0.02843,long,Turtle 55,2026-03-15 08:37:02,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_083702_CRV-USDT-SWAP_long_trade.json,20260315_082059_CRV-USDT-SWAP_long,0.2343,1
2.256,stopout_cooldown,958,0.002950000000000008,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_082023_LPT-USDT-SWAP_long.json,2.267,2.269,2.2729483783783784,2.2611,LPT-USDT-SWAP,0.019,0.838112,3.220339,0.01,0.441112,1.694915,2.273,0.0,1.0,-4.382699999999855,-0.17371174884293653,2516.3700000000003,11100.0,ATR стоп 2.0N,754.7614782697615,0.0005900000000000017,long,Turtle 20,2026-03-15 08:36:22,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_083622_LPT-USDT-SWAP_long_trade.json,20260315_082022_LPT-USDT-SWAP_long,2.266,1
88.02,stopout_cooldown,922,0.13800000000000168,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_082021_SOL-USDT-SWAP_long.json,88.44,88.33,88.43,88.16399999999999,SOL-USDT-SWAP,0.77,0.870647,2.789855,0.08,0.090457,0.289855,88.52,2.0152999999998036,1.0,-2.8790000000002456,-0.11308379509217294,2546.1875999999997,28.79,ATR стоп 2.0N,754.72971427312,0.27600000000000335,long,Turtle 20,2026-03-15 08:35:43,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_083543_SOL-USDT-SWAP_long_trade.json,20260315_082021_SOL-USDT-SWAP_long,88.25,1
2117.02,stopout_cooldown,921,5.500499999999988,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_082020_ETH-USDT-SWAP_long.json,2127.18,2124.1,2128.0,2116.179,ETH-USDT-SWAP,16.58,0.779436,1.507136,2.82,0.13257,0.25634,2129.01,1.8918500000001974,1.0,-4.69950000000011,-0.18327067669173358,2563.2519,12.05,ATR стоп 2.0N,754.6710351057899,1.1000999999999976,long,Turtle 20,2026-03-15 08:35:41,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_083541_ETH-USDT-SWAP_long_trade.json,20260315_082020_ETH-USDT-SWAP_long,2122.0,1
3.774e-06,stopout_cooldown,778,9.644999999999991e-08,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_081530_PEPE-USDT-SWAP_short.json,3.368e-06,3.613e-06,3.5609e-06,3.5609e-06,PEPE-USDT-SWAP,5.2e-07,15.558195,2.716433,1e-08,0.415677,0.072576,3.613e-06,13.788000000000062,1.0,-163.1579999999999,-6.2647058823529385,2579.888,76.6,ATR стоп 2.0N,755.3742345750154,1.9289999999999983,short,Turtle 55,2026-03-15 08:28:29,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_082829_PEPE-USDT-SWAP_short_trade.json,20260315_081530_PEPE-USDT-SWAP_short,3.365e-06,1
0.2237,stopout_cooldown,209,0.0001699999999999993,D:\GIT\okx-trading-bot\v07x\070\logs\entry_context\20260315_082341_BAND-USDT-SWAP_long.json,0.2329,0.2325,0.23256,0.23256,BAND-USDT-SWAP,0.0092,3.950193,27.058824,0.0086,3.692572,25.294118,0.2329,47.43409999999041,1.0,-17.244200000009528,-0.6946467262457546,2469.4387,10603.0,ATR стоп 2.0N,753.4752812266581,0.0003399999999999986,long,Turtle 20,2026-03-15 08:27:10,D:\GIT\okx-trading-bot\v07x\070\logs\trade_context\20260315_082710_BAND-USDT-SWAP_long_trade.json,20260315_082341_BAND-USDT-SWAP_long,0.2325,1
