2026-03-29 12:04:13,809 | INFO | root | okx_gateway:refresh_instruments:103 | Loaded 108 swap instruments
2026-03-29 12:06:05,170 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for AI16Z-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 12:06:41,182 | INFO | root | okx_gateway:place_market_order:596 | Placing order LQTY-USDT-SWAP sell qty=10681.2 attached_stop=True attached_stop_px=0.2729
2026-03-29 12:07:51,257 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for HOME-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 12:08:47,419 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for 2Z-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 12:16:34,845 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for RESOLV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 12:16:57,475 | INFO | root | okx_gateway:place_market_order:596 | Placing order SYRUP-USDT-SWAP buy qty=1383.0 attached_stop=True attached_stop_px=0.2018
2026-03-29 12:17:02,808 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop LQTY-USDT-SWAP algo=3431705742510743552 payload=[{'instId': 'LQTY-USDT-SWAP', 'algoId': '3431705742510743552', 'newSlTriggerPx': '0.2673', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:17:08,366 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop LQTY-USDT-SWAP short payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP775828365', 'slTriggerPx': '0.2673', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:17:10,831 | INFO | root | okx_gateway:place_market_order:596 | Placing order LQTY-USDT-SWAP sell qty=10681.2 attached_stop=False attached_stop_px=
2026-03-29 12:22:26,945 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop LQTY-USDT-SWAP algo=3431726783018655744 payload=[{'instId': 'LQTY-USDT-SWAP', 'algoId': '3431726783018655744', 'newSlTriggerPx': '0.267', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:22:32,729 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop LQTY-USDT-SWAP short payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP776152729', 'slTriggerPx': '0.267', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:22:35,226 | INFO | root | okx_gateway:place_market_order:596 | Placing order LQTY-USDT-SWAP sell qty=10681.2 attached_stop=False attached_stop_px=
2026-03-29 12:22:49,149 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for COMP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 12:25:20,624 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop LQTY-USDT-SWAP algo=3431737667237535744 payload=[{'instId': 'LQTY-USDT-SWAP', 'algoId': '3431737667237535744', 'newSlTriggerPx': '0.2669', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:25:23,326 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop LQTY-USDT-SWAP short payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP776323326', 'slTriggerPx': '0.2669', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:25:25,373 | INFO | root | okx_gateway:place_market_order:596 | Placing order LQTY-USDT-SWAP sell qty=10681.2 attached_stop=False attached_stop_px=
2026-03-29 12:35:41,842 | INFO | root | okx_gateway:place_market_order:596 | Placing order SOL-USDT-SWAP sell qty=33.13 attached_stop=True attached_stop_px=82.87
2026-03-29 12:35:43,371 | INFO | root | okx_gateway:place_market_order:596 | Placing order XLM-USDT-SWAP sell qty=160.61 attached_stop=True attached_stop_px=0.16924
2026-03-29 12:38:07,769 | INFO | root | okx_gateway:place_market_order:596 | Placing order SUI-USDT-SWAP sell qty=3020.0 attached_stop=True attached_stop_px=0.86891
2026-03-29 12:38:10,076 | INFO | root | okx_gateway:place_market_order:596 | Placing order MAGIC-USDT-SWAP sell qty=45290.0 attached_stop=True attached_stop_px=0.05746
2026-03-29 12:38:13,038 | INFO | root | okx_gateway:place_market_order:596 | Placing order LINK-USDT-SWAP sell qty=299.74 attached_stop=True attached_stop_px=8.536
2026-03-29 12:41:02,144 | INFO | root | okx_gateway:place_market_order:596 | Placing order ETH-USDT-SWAP sell qty=13.4 attached_stop=True attached_stop_px=2012.12
2026-03-29 12:41:23,810 | INFO | root | okx_gateway:place_market_order:596 | Placing order SUI-USDT-SWAP sell qty=3020.0 attached_stop=False attached_stop_px=
2026-03-29 12:41:34,966 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop LINK-USDT-SWAP short payload={'instId': 'LINK-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777294966', 'slTriggerPx': '8.522', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:44:11,661 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop SUI-USDT-SWAP short payload={'instId': 'SUI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777451661', 'slTriggerPx': '0.86891', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:44:27,382 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop ETH-USDT-SWAP short payload={'instId': 'ETH-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777467381', 'slTriggerPx': '2002.62', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:46:57,051 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop SOL-USDT-SWAP algo=3431764147455746048 payload=[{'instId': 'SOL-USDT-SWAP', 'algoId': '3431764147455746048', 'newSlTriggerPx': '82.4', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:47:02,518 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop SOL-USDT-SWAP short payload={'instId': 'SOL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777622518', 'slTriggerPx': '82.4', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:47:06,828 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop XLM-USDT-SWAP algo=3431764196646543360 payload=[{'instId': 'XLM-USDT-SWAP', 'algoId': '3431764196646543360', 'newSlTriggerPx': '0.16794', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:47:12,329 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop XLM-USDT-SWAP short payload={'instId': 'XLM-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777632329', 'slTriggerPx': '0.16794', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:47:16,623 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop SUI-USDT-SWAP algo=3431781249881300992 payload=[{'instId': 'SUI-USDT-SWAP', 'algoId': '3431781249881300992', 'newSlTriggerPx': '0.86044', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:47:22,157 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop SUI-USDT-SWAP short payload={'instId': 'SUI-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777642157', 'slTriggerPx': '0.86044', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:47:26,810 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop MAGIC-USDT-SWAP algo=3431769119517925376 payload=[{'instId': 'MAGIC-USDT-SWAP', 'algoId': '3431769119517925376', 'newSlTriggerPx': '0.05694', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:47:32,234 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop MAGIC-USDT-SWAP short payload={'instId': 'MAGIC-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777652234', 'slTriggerPx': '0.05694', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:47:36,130 | INFO | root | okx_gateway:amend_exchange_stop:395 | Amending exchange stop LINK-USDT-SWAP algo=3431775992136687616 payload=[{'instId': 'LINK-USDT-SWAP', 'algoId': '3431775992136687616', 'newSlTriggerPx': '8.52', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 12:47:41,784 | INFO | root | okx_gateway:place_exchange_stop:372 | Placing exchange stop LINK-USDT-SWAP short payload={'instId': 'LINK-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP777661784', 'slTriggerPx': '8.52', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 12:49:11,173 | INFO | root | okx_gateway:refresh_instruments:103 | Loaded 109 swap instruments
2026-03-29 12:49:13,970 | INFO | root | okx_gateway:close_position:428 | Closing position ETH-USDT-SWAP. reset_test
2026-03-29 12:49:16,190 | INFO | root | okx_gateway:close_position:428 | Closing position LINK-USDT-SWAP. reset_test
2026-03-29 12:49:18,429 | INFO | root | okx_gateway:close_position:428 | Closing position MAGIC-USDT-SWAP. reset_test
2026-03-29 12:49:20,642 | INFO | root | okx_gateway:close_position:428 | Closing position SUI-USDT-SWAP. reset_test
2026-03-29 12:49:22,854 | INFO | root | okx_gateway:close_position:428 | Closing position XLM-USDT-SWAP. reset_test
2026-03-29 12:49:25,068 | INFO | root | okx_gateway:close_position:428 | Closing position SOL-USDT-SWAP. reset_test
