breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,long,5m,2026-03-29 04:27:25
,False,,,reentry_check,True,ok,ALGO-USDT-SWAP,,,0.082,False,,,,False,,short,5m,2026-03-29 04:27:25
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6595,False,,,,False,,long,5m,2026-03-29 04:27:29
,False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6595,False,,,,False,,short,5m,2026-03-29 04:27:29
,False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.663,False,,,,False,,long,5m,2026-03-29 04:27:31
,False,,,reentry_check,True,ok,ATOM-USDT-SWAP,,,1.663,False,,,,False,,short,5m,2026-03-29 04:27:31
,False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,482.5,False,,,,False,,long,5m,2026-03-29 04:27:38
,False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,482.5,False,,,,False,,short,5m,2026-03-29 04:27:38
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66508.6,False,,,,False,,long,5m,2026-03-29 04:27:47
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66508.6,False,,,,False,,short,5m,2026-03-29 04:27:47
,,,,reentry_check,True,scan,BTC-USDT-SWAP,,,66508.6,False,0.0,,,,,scan,5m,2026-03-29 04:27:47
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,long,5m,2026-03-29 04:27:55
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,short,5m,2026-03-29 04:27:55
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0911,False,,,,False,,long,5m,2026-03-29 04:28:00
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0911,False,,,,False,,short,5m,2026-03-29 04:28:00
,False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.266,False,,,,False,,long,5m,2026-03-29 04:28:01
