time,balance_total,balance_available,balance_used
2026-03-15 06:00:05,76544.08293415121,75075.08583012997,1459.0476666666655
2026-03-15 06:00:10,76485.71648151225,75075.08583012997,1401.4534666666655
2026-03-15 06:00:15,76464.71396151226,75075.08583012997,1380.4534666666655
2026-03-15 06:00:21,76457.9487461193,75075.08583012997,1374.4534666666655
2026-03-15 06:00:26,76455.71288151226,75075.08583012997,1371.4534666666655
2026-03-15 06:00:32,76455.71288151226,75075.08583012997,1371.4534666666655
2026-03-15 06:00:37,76455.71288151226,75075.08583012997,1371.4534666666655
2026-03-15 06:00:43,76456.47734690523,75075.08583012997,1371.4534666666655
2026-03-15 06:00:48,76456.47734690523,75075.08583012997,1371.4534666666655
2026-03-15 06:00:54,76456.47734690523,75075.08583012997,1371.4534666666655
2026-03-15 06:00:59,76455.11861020824,75075.08583012997,1370.8592666666655
2026-03-15 06:01:04,76454.3541507573,75075.08583012997,1370.8592666666655
2026-03-15 06:01:10,76456.0532459222,75075.08583012997,1370.2650666666652
2026-03-15 06:01:15,76456.0532459222,75075.08583012997,1370.2650666666652
2026-03-15 06:01:21,76456.0532459222,75075.08583012997,1370.2650666666652
2026-03-15 06:01:26,76455.88306965922,75075.08583012997,1370.8592666666655
2026-03-15 06:01:32,76454.3541507573,75075.08583012997,1370.8592666666655
2026-03-15 06:01:37,76453.7598853953,75075.08583012997,1370.2650666666652
2026-03-15 06:01:42,76455.88306965922,75075.08583012997,1370.8592666666655
2026-03-15 06:01:48,76454.3541507573,75075.08583012997,1370.8592666666655
2026-03-15 06:01:53,76455.11861020824,75075.08583012997,1370.8592666666655
2026-03-15 06:01:59,76455.11861020824,75075.08583012997,1370.8592666666655
2026-03-15 06:02:04,76455.88306965922,75075.08583012997,1370.8592666666655
2026-03-15 06:02:10,76456.0532459222,75075.08583012997,1370.2650666666652
2026-03-15 06:02:15,76454.69451516723,75075.08583012997,1369.6708666666652
2026-03-15 06:02:21,76456.39356279613,75075.08583012997,1369.0766666666652
2026-03-15 06:02:26,76455.03483204117,75075.08583012997,1368.4824666666655
2026-03-15 06:02:31,76454.44054291118,75075.08583012997,1367.8882666666655
2026-03-15 06:02:37,76451.44009291117,75075.08583012997,1364.8882666666655
2026-03-15 06:02:42,76449.14689368826,75075.08583012997,1364.8882666666655
2026-03-15 06:02:48,76447.61809420632,75075.08583012997,1364.8882666666655
2026-03-15 06:02:53,76447.61809420632,75075.08583012997,1364.8882666666655
2026-03-15 06:02:59,76449.14689368826,75075.08583012997,1364.8882666666655
2026-03-15 06:03:04,76453.67611317021,75075.08583012997,1367.8882666666655
2026-03-15 06:03:10,76451.38282394731,75075.08583012997,1367.8882666666655
2026-03-15 06:03:15,76452.14725368826,75075.08583012997,1367.8882666666655
2026-03-15 06:03:20,76453.67611317021,75075.08583012997,1367.8882666666655
2026-03-15 06:03:26,76454.44054291118,75075.08583012997,1367.8882666666655
2026-03-15 06:03:31,76452.91168342924,75075.08583012997,1367.8882666666655
