components,components_down,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 374.0, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 365.6, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 422.2, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 293.7, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}",['ws_private'],1.49,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-26 21:31:20
,['ws_private'],,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-26 21:31:20,,2026-03-26 21:31:20
"{'public': {'ok': True, 'latency_ms': 443.2, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 431.0, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 434.4, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 324.0, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],7.331,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-26 21:31:27
,[],,7.984,2026-03-26 21:31:27,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-26 21:31:20,,2026-03-26 21:31:27
,,,,,CONNECTIVITY_RECOVERY_COMPLETED,,,0,,,,,,2026-03-26 21:31:27
