early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_052138_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_052010_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051907_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051803_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051700_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051547_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051444_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051339_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051234_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051130_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_051016_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050913_XSR-USDT-SWAP_short,0
