time,balance_total,balance_available,balance_used
2026-03-22 07:47:29,82658.02874228459,62158.40147148107,20507.89390034069
2026-03-22 07:47:35,82657.96890826858,62158.40147148107,20507.83406034069
2026-03-22 07:47:40,82655.43000218458,62158.40147148107,20505.29490034069
2026-03-22 07:47:46,82652.95896931257,62158.40147148107,20502.82362034069
2026-03-22 07:47:51,82652.56908830458,62158.40147148107,20502.43370034069
2026-03-22 07:47:57,82653.18698650858,62158.40147148107,20503.05166034069
2026-03-22 07:48:02,82661.49339578458,62158.40147148107,20511.35890034069
2026-03-22 07:48:07,82656.78676700914,62158.40147148107,20508.30530034069
2026-03-22 07:48:13,82658.09766080606,62158.40147148107,20508.78958034069
2026-03-22 07:48:18,82660.44054108058,62158.40147148107,20510.305940340688
2026-03-22 07:48:24,82658.57735211315,62158.40147148107,20510.096100340692
2026-03-22 07:48:29,82658.43296944114,62158.40147148107,20509.95170034069
2026-03-22 07:48:34,82663.28234744594,62158.40147148107,20514.80166034069
2026-03-22 07:48:40,82664.43068962835,62158.40147148107,20515.95014034069
2026-03-22 07:48:45,82666.04638635005,62158.40147148107,20516.73918034069
2026-03-22 07:48:51,82666.06134470445,62158.40147148107,20516.75414034069
2026-03-22 07:48:56,82666.04638635005,62158.40147148107,20516.73918034069
2026-03-22 07:49:02,82667.82703771869,62158.40147148107,20516.86634034069
2026-03-22 07:49:07,82678.15697397263,62158.40147148107,20530.50506034069
2026-03-22 07:49:12,82674.23199870011,62158.40147148107,20527.406540340693
2026-03-22 07:49:18,82673.1463907065,62158.40147148107,20526.320780340688
2026-03-22 07:49:23,82673.0566432729,62158.40147148107,20526.23102034069
2026-03-22 07:49:29,82673.8166168617,62158.40147148107,20526.99110034069
2026-03-22 07:49:34,82679.13536676503,62158.40147148107,20531.483580340693
2026-03-22 07:49:40,82655.47560293422,62158.40147148107,20507.82074034069
2026-03-22 07:49:45,82664.86571623807,62158.40147148107,20515.55838034069
2026-03-22 07:49:50,82666.7526459561,62158.40147148107,20519.92614034069
2026-03-22 07:49:56,82665.86805174024,62158.40147148107,20518.21454034069
2026-03-22 07:50:01,82652.19071002582,62158.40147148107,20504.535420340693
2026-03-22 07:50:07,82658.42633928862,62158.40147148107,20510.77186034069
