atr,avg_entry_price,event_type,inst_id,mae_pct,mfe_pct,next_unit_level,pnl_pct,pnl_usd,position_age_sec,price,qty_total,reason,reason_code,side,stop_price,timestamp,trade_id,units
0.0,0.0,session_start,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,unknown,,0.0,2026-03-16 16:06:24,,0
1.0499999999999603,722.6,SNAPSHOT,BNB-USDT-SWAP,0.0,0.0,722.075,0.0691945751453086,1.94,1,722.1,388.0,Минутный snapshot позиции,,short,724.6999999999999,2026-03-16 16:06:26,20260316_160625_BNB-USDT-SWAP_short,1
0.0,1.0089049966666679,SNAPSHOT,BREV-USDT-SWAP,0.0,0.0,1.0089049966666679,2.1503514607431256,260.34003999998487,0,1.0306,120000.0,Минутный snapshot позиции,,long,1.0089049966666679,2026-03-16 16:06:26,20260316_160626_BREV-USDT-SWAP_long,1
7.100000000000024e-05,0.1026926093294466,SNAPSHOT,CRO-USDT-SWAP,0.0,0.0,0.1026571093294466,-0.7472696190740883,-73.5467218658376,0,0.10346,9584.0,Минутный snapshot позиции,,short,0.1028346093294466,2026-03-16 16:06:26,20260316_160626_CRO-USDT-SWAP_short,1
0.09100000000000011,8.85,SNAPSHOT,ETC-USDT-SWAP,0.0,0.0,8.804499999999999,0.0,0.0,0,8.85,16.53,Минутный snapshot позиции,,short,9.032,2026-03-16 16:06:26,20260316_160626_ETC-USDT-SWAP_short,1
6.150000000000044e-05,0.02948,SNAPSHOT,LRC-USDT-SWAP,0.0,0.0,0.02944925,0.0,0.0,1,0.02948,4000.0,Минутный snapshot позиции,,short,0.029603,2026-03-16 16:06:26,20260316_160625_LRC-USDT-SWAP_short,1
1.0499999999999603,722.6,SNAPSHOT,BNB-USDT-SWAP,0.0,0.0,722.075,0.0691945751453086,1.94,35,722.1,388.0,Минутный snapshot позиции,,short,724.6999999999999,2026-03-16 16:07:00,20260316_160625_BNB-USDT-SWAP_short,1
0.0,1.0089049966666679,SNAPSHOT,BREV-USDT-SWAP,0.0,0.0,1.0089049966666679,2.1503514607431256,260.34003999998487,34,1.0306,120000.0,Минутный snapshot позиции,,long,1.0089049966666679,2026-03-16 16:07:00,20260316_160626_BREV-USDT-SWAP_long,1
7.100000000000024e-05,0.1026926093294466,SNAPSHOT,CRO-USDT-SWAP,0.0,0.0,0.1026571093294466,-0.7472696190740883,-73.5467218658376,34,0.10346,9584.0,Минутный snapshot позиции,,short,0.1028346093294466,2026-03-16 16:07:00,20260316_160626_CRO-USDT-SWAP_short,1
0.09100000000000011,8.85,SNAPSHOT,ETC-USDT-SWAP,0.0,0.0,8.804499999999999,0.0,0.0,34,8.85,16.53,Минутный snapshot позиции,,short,9.032,2026-03-16 16:07:00,20260316_160626_ETC-USDT-SWAP_short,1
6.150000000000044e-05,0.02948,SNAPSHOT,LRC-USDT-SWAP,0.0,0.0,0.02944925,0.0,0.0,35,0.02948,4000.0,Минутный snapshot позиции,,short,0.029603,2026-03-16 16:07:00,20260316_160625_LRC-USDT-SWAP_short,1
0.0,0.0,CLOSE,ETC-USDT-SWAP,0.0,0.0,0.0,0.0,0.0,0,9.05,16.53,Локальный защитный выход 2.0N,локальный_защитный_выход_2.0n,short,9.032,2026-03-16 16:07:02,20260316_160626_ETC-USDT-SWAP_short,1
0.0,0.0,CLOSE,CRO-USDT-SWAP,0.0,0.0,0.0,0.0,-73.5467218658376,0,0.10346,9584.0,Локальный защитный выход 2.0N,локальный_защитный_выход_2.0n,short,0.1028346093294466,2026-03-16 16:07:03,20260316_160626_CRO-USDT-SWAP_short,1
0.0,0.0,CLOSE,BREV-USDT-SWAP,0.0,0.0,0.0,0.0,260.34003999998487,0,1.0126,120000.0,Защита тренда: откат от пика 21695003333.33R → 3695003333.33R,защита_тренда:_откат_от_пика_21695003333.33r_→_3695003333.33r,long,1.0089049966666679,2026-03-16 16:07:05,20260316_160626_BREV-USDT-SWAP_long,1
0.0,0.0,CLOSE,ETC-USDT-SWAP,0.0,0.0,0.0,0.0,-0.1600000000000009,0,9.09,0.08,Локальный защитный выход 2.0N,локальный_защитный_выход_2.0n,short,9.032,2026-03-16 16:07:53,20260316_160711_ETC-USDT-SWAP_short,1
0.0,0.0,CLOSE,CRO-USDT-SWAP,0.0,0.0,0.0,0.0,-83.13072186583787,0,0.10357,9584.0,Локальный защитный выход 2.0N,локальный_защитный_выход_2.0n,short,0.1028346093294466,2026-03-16 16:07:54,20260316_160711_CRO-USDT-SWAP_short,1
0.0,0.0,CLOSE,BREV-USDT-SWAP,0.0,0.0,0.0,0.0,267.5400399999841,0,1.0126,120000.0,Защита тренда: откат от пика 22295003333.33R → 3695003333.33R,защита_тренда:_откат_от_пика_22295003333.33r_→_3695003333.33r,long,1.0089049966666679,2026-03-16 16:07:56,20260316_160711_BREV-USDT-SWAP_long,1
1.0499999999999603,722.6,SNAPSHOT,BNB-USDT-SWAP,0.0,0.20758372543592582,722.075,0.0691945751453086,1.94,97,722.1,388.0,Минутный snapshot позиции,,short,724.6999999999999,2026-03-16 16:08:02,20260316_160625_BNB-USDT-SWAP_short,1
0.0,1.0089049966666679,SNAPSHOT,BREV-USDT-SWAP,0.0,0.0,1.0089049966666679,2.180086668814365,263.94003999998455,0,1.0309,120000.0,Минутный snapshot позиции,,long,1.0089049966666679,2026-03-16 16:08:02,20260316_160802_BREV-USDT-SWAP_long,1
7.100000000000024e-05,0.1026926093294466,SNAPSHOT,CRO-USDT-SWAP,0.0,0.0,0.1026571093294466,-0.7959586146371519,-78.3387218658384,0,0.10351,9584.0,Минутный snapshot позиции,,short,0.1028346093294466,2026-03-16 16:08:02,20260316_160802_CRO-USDT-SWAP_short,1
6.150000000000044e-05,0.02948,SNAPSHOT,LRC-USDT-SWAP,0.0,0.0,0.02944925,0.0,0.0,97,0.02948,4000.0,Минутный snapshot позиции,,short,0.029603,2026-03-16 16:08:02,20260316_160625_LRC-USDT-SWAP_short,1
