early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,4.641617,FLOKI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,4.073255,16.0,4.641617,-0.06313131313132321,long,0,20260317_114422_FLOKI-USDT-SWAP_long,1
False,4.846373,FLOKI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.769401,16.0,4.846373,-0.14444728590514877,long,0,20260317_114028_FLOKI-USDT-SWAP_long,1
False,0.0,SHIB-USDT-SWAP,pre_close:ATR стоп 2.0N,10.062893,57.75,0.0,-0.12578616352201136,long,0,20260317_113727_SHIB-USDT-SWAP_long,0
False,0.0,MET-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.243339,9.5,0.0,-0.1776198934280608,long,1,20260317_112037_MET-USDT-SWAP_long,0
False,0.0,SHIB-USDT-SWAP,pre_close:ATR стоп 2.0N,10.10101,57.75,0.126263,0.12626262626262508,long,0,20260317_113234_SHIB-USDT-SWAP_long,1
False,0.465283,NEO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,0.894775,21.75,0.465283,-0.21489971346705686,short,0,20260317_111540_NEO-USDT-SWAP_short,2
False,0.315457,ALGO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.156677,11.5,0.315457,0.0,long,1,20260317_110808_ALGO-USDT-SWAP_long,0
False,2.305825,2Z-USDT-SWAP,pre_close:Канальный выход 10 свечей,2.063107,6.75,2.305825,-0.4854368932038805,long,0,20260317_111049_2Z-USDT-SWAP_long,0
False,1.890991,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.206414,44.25,1.890991,-0.2475556682190429,long,0,20260317_111003_TSLA-USDT-SWAP_long,0
False,1.809977,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.193133,44.25,1.809977,-0.2484761867470706,long,0,20260317_110907_TSLA-USDT-SWAP_long,0
False,0.714113,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.245908,44.25,0.714113,-1.322183145856271,long,0,20260317_110812_TSLA-USDT-SWAP_long,0
False,1.767728,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.23372,44.25,1.767728,-0.2898706792468511,long,0,20260317_110657_TSLA-USDT-SWAP_long,0
False,0.0,ALGO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.432251,11.5,0.0,-0.3836582022675219,long,0,20260317_110558_ALGO-USDT-SWAP_long,0
False,1.373266,TSLA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.612672,44.25,1.373266,-0.6763572154174763,long,0,20260317_110602_TSLA-USDT-SWAP_long,0
False,0.255537,GMT-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.277683,21.25,0.255537,-0.17035775127769096,long,1,20260317_105043_GMT-USDT-SWAP_long,0
