duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
874,False,0.0,unknown,Turtle 20,0.0,локальный_защитный_выход_2.0n,MET-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.245552,4.375,9.5,0.0,0.0,no_pyramid,-0.177936,-1.7759999999999687,-0.1779359430604951,long,0.4,1,1,3,20260317_103058_MET-USDT-SWAP_long,0.0,0.0,0,1
873,False,0.045299,weak,Turtle 20,0.0,локальный_защитный_выход_2.0n,MINA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.549956,3.022767,65.5,0.045299,0.088344,no_pyramid,-0.231429,-2.3437000000040435,-0.23142869175682385,long,-2.665348,12,1,16,20260317_103053_MINA-USDT-SWAP_long,-5.108914,0.088344,0,1
425,False,0.033478,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,TRX-USDT-SWAP,missing_stop_recovery,0.870439,7.027027,68.75,0.033478,0.27027,hurt,-0.041841,-1.6500000000001844,-0.08368200836821019,long,-1.299767,16,0,14,20260317_103530_TRX-USDT-SWAP_long,-2.499612,0.27027,1,2
876,False,0.105983,weak,Turtle 20,-3.8,локальный_защитный_выход_2.0n,AVAX-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,5.723095,11.207547,35.75,0.105983,0.207547,no_pyramid,-0.183062,-1.6169000000000109,-0.18306195201850012,long,-0.636366,7,1,8,20260317_102105_AVAX-USDT-SWAP_long,-1.727277,0.207547,0,1
876,False,0.0,unknown,Turtle 20,0.0,локальный_защитный_выход_2.0n,1INCH-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.961353,0.718039,2.5,0.0,0.0,no_pyramid,-1.062802,-9.513899999999913,-1.06280193236714,long,0.4,0,1,1,20260317_102100_1INCH-USDT-SWAP_long,0.0,0.0,0,1
845,False,28.02276,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,NEO-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.564723,8.148148,21.75,28.02276,145.925926,no_pyramid,0.0,0.0,0.0,long,0.4,3,1,6,20260317_101607_NEO-USDT-SWAP_long,0.0,145.925926,0,1
855,False,2.980977,weak,Turtle 20,-0.070729,локальный_защитный_выход_2.0n,XLM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,2.597159,0.577039,2.5,2.980977,0.662316,no_pyramid,-0.068404,-0.6810300000006908,-0.06840388474771457,long,0.386232,0,1,1,20260317_101553_XLM-USDT-SWAP_long,-0.022947,0.662316,0,1
187,False,0.462725,normal,Turtle 20,0.0,локальный_защитный_выход_2.0n,ATOM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.233933,3.934426,65.75,0.462725,1.47541,no_pyramid,-0.359897,-0.1680000000000028,-0.3598971722365099,long,-0.266667,18,0,11,20260317_102405_ATOM-USDT-SWAP_long,-0.777778,1.47541,0,1
872,False,0.258112,weak,Turtle 55,-71.5,локальный_защитный_выход_2.0n,ENA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,30.688907,35.997241,2.5,0.258112,0.302759,no_pyramid,-0.168155,-1.7160000000005087,-0.16815517312344389,long,0.009111,0,1,1,20260317_101045_ENA-USDT-SWAP_long,-0.651481,0.302759,0,1
501,False,0.11325,weak,Turtle 20,0.0,локальный_защитный_выход_2.0n,SAND-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.359003,3.428571,39.25,0.11325,0.285714,hurt,-0.132864,-5.073250000003597,-0.5314567225363869,long,-2.615665,10,0,7,20260317_101602_SAND-USDT-SWAP_long,-4.692775,0.285714,3,4
