time,balance_total,balance_available,balance_used
2026-03-16 14:43:31,47292.48455430952,42950.22890392565,4340.364026666652
2026-03-16 14:43:36,47292.48455430952,42950.22890392565,4340.364026666652
2026-03-16 14:43:42,47292.01164838021,42950.22890392565,4340.364026666652
2026-03-16 14:43:47,47292.01164838021,42950.22890392565,4340.364026666652
2026-03-16 14:43:53,47280.484074309534,42950.22890392565,4328.364026666653
2026-03-16 14:43:58,47280.95686023884,42950.22890392565,4328.364026666653
2026-03-16 14:44:04,47280.95686023884,42950.22890392565,4328.364026666653
2026-03-16 14:44:09,47280.36523065884,42555.23730392565,4722.764026666653
2026-03-16 14:44:14,47277.550924950585,42256.82713892565,5018.360026666653
2026-03-16 14:44:20,47279.207007750585,42256.82713892565,5020.016026666653
2026-03-16 14:44:25,47279.62102845059,42256.82713892565,5020.430026666653
2026-03-16 14:44:31,47277.96494565059,42256.82713892565,5018.774026666653
2026-03-16 14:44:36,47279.62102845059,42256.82713892565,5020.430026666653
2026-03-16 14:44:42,47279.62102845059,42256.82713892565,5020.430026666653
2026-03-16 14:44:47,47278.734239318925,42256.82713892565,5020.016026666653
2026-03-16 14:44:53,47279.562272438925,42256.82713892565,5020.844026666653
2026-03-16 14:44:58,47278.734239318925,42256.82713892565,5020.016026666653
2026-03-16 14:45:04,47280.50782586223,42256.82713892565,5020.844026666653
2026-03-16 14:45:09,47280.03504915058,42256.82713892565,5020.844026666653
2026-03-16 14:45:15,47279.97628899892,42256.82713892565,5021.258026666653
2026-03-16 14:45:20,47282.46038835892,42256.82713892565,5023.742026666653
2026-03-16 14:45:26,47282.018370678925,42256.82713892565,5023.300026666653
2026-03-16 14:45:31,47280.40430611892,42256.82713892565,5021.686026666653
2026-03-16 14:45:37,47279.11749656726,42256.82713892565,5020.872026666653
2026-03-16 14:45:42,47279.11749656726,42256.82713892565,5020.872026666653
2026-03-16 14:45:47,47276.78100599272,41763.31785039231,5511.572159999986
2026-03-16 14:45:53,47278.41723633688,41275.284563558984,6002.659893333319
2026-03-16 14:45:58,47281.68346484401,41275.284563558984,6004.980493333319
2026-03-16 14:46:04,47279.063943806585,41275.284563558984,6001.888293333319
2026-03-16 14:46:09,47280.720010046585,41275.284563558984,6003.544293333319
2026-03-16 14:46:15,47282.57028405458,41275.284563558984,6005.394493333319
2026-03-16 14:46:20,47283.335314654585,41275.284563558984,6006.159493333318
2026-03-16 14:46:26,47282.09326497458,41275.284563558984,6004.917493333319
2026-03-16 14:46:31,47283.70772407515,41275.284563558984,6006.059093333319
2026-03-16 14:46:36,47282.980087695156,41275.284563558984,6005.331493333319
2026-03-16 14:46:42,47282.92129809458,41275.284563558984,6005.745493333318
2026-03-16 14:46:47,47283.11970793002,41275.284563558984,6006.416693333318
2026-03-16 14:46:53,47281.60326819688,41275.284563558984,6005.845893333319
