details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-28 18:28:38
"{""ts"": ""2026-03-28 18:28:38"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 2, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 106, ""trade_ready_count"": 11, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 53, ""scanner_blocked"": 55, ""scanner_dead"": 15, ""scanner_saw"": 0, ""scanner_ripping"": 40, ""scanner_status_text"": ""READY"", ""scanner_safe"": 53, ""scanner_caution"": 0, ""scanner_risky"": 55, ""scanner_blacklist"": 55, ""scanner_exec_watch"": 40, ""scanner_admitted"": 53, ""signal_funnel"": {""cycle_id"": 37, ""instruments_scanned"": 17, ""prefilter_skipped"": 91, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 17, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 18:28:38
SYNC confirmed close after exchange absence,close_pending_exchange,THETA-USDT-SWAP,sync_confirmed_close_after_exchange_absence,2026-03-28 18:37:27
SYNC confirmed close after stop fault: PENDING_RECHECK,close_pending_exchange,THETA-USDT-SWAP,sync_confirmed_close_after_stop_fault:_pending_recheck,2026-03-28 18:40:13
,filter_diagnostics,,unknown,2026-03-28 18:45:22
"{""ts"": ""2026-03-28 18:45:22"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 3, ""blocked_count"": 3, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 3, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 105, ""trade_ready_count"": 11, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 55, ""scanner_blocked"": 53, ""scanner_dead"": 16, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 55, ""scanner_caution"": 0, ""scanner_risky"": 53, ""scanner_blacklist"": 53, ""scanner_exec_watch"": 37, ""scanner_admitted"": 55, ""signal_funnel"": {""cycle_id"": 43, ""instruments_scanned"": 20, ""prefilter_skipped"": 88, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 19, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 18:45:22
,filter_diagnostics,,unknown,2026-03-28 19:02:04
"{""ts"": ""2026-03-28 19:02:04"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 3, ""blocked_count"": 3, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 3, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 105, ""trade_ready_count"": 10, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 53, ""scanner_blocked"": 55, ""scanner_dead"": 17, ""scanner_saw"": 0, ""scanner_ripping"": 38, ""scanner_status_text"": ""READY"", ""scanner_safe"": 53, ""scanner_caution"": 0, ""scanner_risky"": 55, ""scanner_blacklist"": 55, ""scanner_exec_watch"": 38, ""scanner_admitted"": 53, ""signal_funnel"": {""cycle_id"": 49, ""instruments_scanned"": 23, ""prefilter_skipped"": 85, ""warmup_rejected"": 3, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 19, ""other_rejected"": 0, ""candidates"": 2, ""ranked_candidates"": 2, ""orders_sent"": 0, ""entry_failed"": 2, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 19:02:04
,filter_diagnostics,,unknown,2026-03-28 19:17:37
"{""ts"": ""2026-03-28 19:17:37"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 104, ""trade_ready_count"": 12, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 53, ""scanner_blocked"": 55, ""scanner_dead"": 16, ""scanner_saw"": 0, ""scanner_ripping"": 39, ""scanner_status_text"": ""READY"", ""scanner_safe"": 53, ""scanner_caution"": 0, ""scanner_risky"": 55, ""scanner_blacklist"": 55, ""scanner_exec_watch"": 39, ""scanner_admitted"": 53, ""signal_funnel"": {""cycle_id"": 56, ""instruments_scanned"": 25, ""prefilter_skipped"": 83, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 24, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 19:17:37
,filter_diagnostics,,unknown,2026-03-28 19:33:45
"{""ts"": ""2026-03-28 19:33:45"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 104, ""trade_ready_count"": 27, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 55, ""scanner_blocked"": 53, ""scanner_dead"": 16, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 55, ""scanner_caution"": 0, ""scanner_risky"": 53, ""scanner_blacklist"": 53, ""scanner_exec_watch"": 37, ""scanner_admitted"": 55, ""signal_funnel"": {""cycle_id"": 63, ""instruments_scanned"": 30, ""prefilter_skipped"": 78, ""warmup_rejected"": 1, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 29, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 19:33:45
,filter_diagnostics,,unknown,2026-03-28 19:50:31
"{""ts"": ""2026-03-28 19:50:31"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 104, ""trade_ready_count"": 16, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 55, ""scanner_blocked"": 53, ""scanner_dead"": 16, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 55, ""scanner_caution"": 0, ""scanner_risky"": 53, ""scanner_blacklist"": 53, ""scanner_exec_watch"": 37, ""scanner_admitted"": 55, ""signal_funnel"": {""cycle_id"": 70, ""instruments_scanned"": 30, ""prefilter_skipped"": 78, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 29, ""other_rejected"": 0, ""candidates"": 2, ""ranked_candidates"": 2, ""orders_sent"": 0, ""entry_failed"": 2, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-28 19:50:31
