available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
108,0,0,0,['ws_private'],DEGRADED,SYSTEM_HEALTH,0.0,0,0,0,108,2026-03-28 17:10:16
108,0,215,0,[],CONNECTED,SYSTEM_HEALTH,103.51872086524963,0,0,0,108,2026-03-28 17:12:11
107,0,513,0,[],CONNECTED,SYSTEM_HEALTH,112.39501523971558,0,0,2,108,2026-03-28 17:14:08
107,0,806,0,[],CONNECTED,SYSTEM_HEALTH,107.99920463562012,0,0,0,108,2026-03-28 17:16:01
107,0,965,0,[],CONNECTED,SYSTEM_HEALTH,102.9991888999939,0,0,0,108,2026-03-28 17:17:49
107,0,1259,0,[],CONNECTED,SYSTEM_HEALTH,107.62552905082703,0,0,0,108,2026-03-28 17:19:42
107,0,1563,0,[],CONNECTED,SYSTEM_HEALTH,107.02461266517639,0,0,0,108,2026-03-28 17:21:34
107,0,1849,0,[],CONNECTED,SYSTEM_HEALTH,133.02433967590332,0,0,0,108,2026-03-28 17:23:52
107,0,2159,0,[],CONNECTED,SYSTEM_HEALTH,166.19848537445068,0,0,0,108,2026-03-28 17:26:43
107,0,2477,0,[],CONNECTED,SYSTEM_HEALTH,169.79337692260742,0,0,0,108,2026-03-28 17:29:38
107,0,2796,0,[],CONNECTED,SYSTEM_HEALTH,160.9891927242279,0,0,0,108,2026-03-28 17:32:24
107,0,3101,0,[],CONNECTED,SYSTEM_HEALTH,119.5553035736084,0,0,0,108,2026-03-28 17:34:29
107,0,3286,0,[],CONNECTED,SYSTEM_HEALTH,107.2330572605133,0,0,0,108,2026-03-28 17:36:21
107,0,3581,0,[],CONNECTED,SYSTEM_HEALTH,105.72346091270447,0,0,0,108,2026-03-28 17:38:12
107,0,3870,0,[],CONNECTED,SYSTEM_HEALTH,107.41945219039917,0,0,0,108,2026-03-28 17:40:04
107,0,4045,0,[],CONNECTED,SYSTEM_HEALTH,116.68669509887695,0,0,0,108,2026-03-28 17:42:06
107,0,4359,0,[],CONNECTED,SYSTEM_HEALTH,145.97907304763794,0,0,0,108,2026-03-28 17:44:37
107,0,4674,0,[],CONNECTED,SYSTEM_HEALTH,155.44898891448975,0,0,2,108,2026-03-28 17:47:17
107,0,4983,0,[],CONNECTED,SYSTEM_HEALTH,155.44898891448975,1,0,4,108,2026-03-28 17:49:53
107,0,4983,0,[],CONNECTED,SYSTEM_HEALTH,159.4025161266327,1,0,4,108,2026-03-28 17:50:02
107,0,5294,0,[],CONNECTED,SYSTEM_HEALTH,159.4025161266327,1,0,0,108,2026-03-28 17:52:32
107,0,5480,0,[],CONNECTED,SYSTEM_HEALTH,151.3329553604126,1,0,0,108,2026-03-28 17:55:13
107,0,5803,0,[],CONNECTED,SYSTEM_HEALTH,156.59965872764587,1,0,0,108,2026-03-28 17:57:27
107,0,6113,0,[],CONNECTED,SYSTEM_HEALTH,128.67007732391357,1,0,0,108,2026-03-28 17:59:26
107,0,6404,0,[],CONNECTED,SYSTEM_HEALTH,114.52312803268433,1,0,0,108,2026-03-28 18:01:18
107,0,6690,0,[],CONNECTED,SYSTEM_HEALTH,106.36917662620544,1,0,0,108,2026-03-28 18:03:11
107,0,6866,0,[],CONNECTED,SYSTEM_HEALTH,108.03270030021667,1,0,0,108,2026-03-28 18:05:04
107,0,7170,0,[],CONNECTED,SYSTEM_HEALTH,107.84749436378479,1,0,0,108,2026-03-28 18:07:26
107,0,7475,0,[],CONNECTED,SYSTEM_HEALTH,137.76607465744019,1,0,0,108,2026-03-28 18:09:24
106,0,7767,0,[],CONNECTED,SYSTEM_HEALTH,112.344642162323,1,0,1,108,2026-03-28 18:11:23
