block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1480s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:37:25
cooldown после ATR-стопа ещё активен 1195s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:37:29
cooldown после ATR-стопа ещё активен 1721s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:37:59
cooldown после ATR-стопа ещё активен 1444s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:38:02
cooldown после ATR-стопа ещё активен 1160s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:38:04
cooldown после ATR-стопа ещё активен 1703s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:38:17
cooldown после ATR-стопа ещё активен 1426s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:38:20
cooldown после ATR-стопа ещё активен 1142s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:38:22
cooldown после ATR-стопа ещё активен 1684s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:38:36
cooldown после ATR-стопа ещё активен 1407s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:38:38
cooldown после ATR-стопа ещё активен 1124s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:38:41
cooldown после ATR-стопа ещё активен 1652s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:39:08
cooldown после ATR-стопа ещё активен 1375s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:39:11
cooldown после ATR-стопа ещё активен 1092s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:39:13
cooldown после ATR-стопа ещё активен 1635s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:39:25
cooldown после ATR-стопа ещё активен 1357s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:39:28
cooldown после ATR-стопа ещё активен 1074s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:39:30
cooldown после ATR-стопа ещё активен 1617s; цена отошла только на 0.00 ATR,True,ETC-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,8.44,True,long,2026-03-21 18:39:43
cooldown после ATR-стопа ещё активен 1340s; цена отошла только на 0.24 ATR,True,LQTY-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.2812,True,long,2026-03-21 18:39:46
cooldown после ATR-стопа ещё активен 1057s; цена отошла только на 0.32 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2680.0,True,short,2026-03-21 18:39:48
cooldown после ATR-стопа ещё активен 1025s; цена отошла только на 0.16 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2677.0,True,short,2026-03-21 18:40:20
cooldown после ATR-стопа ещё активен 999s; цена отошла только на 0.16 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2677.0,True,short,2026-03-21 18:40:45
