2026-03-25 19:12:22,418 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:22,609 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/public/instruments?instType=SWAP "HTTP/2 200 OK"
2026-03-25 19:12:22,842 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASP-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:23,041 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
2026-03-25 19:12:23,092 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:23,371 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:23,515 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASTER-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:23,649 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:23,769 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:24,030 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:24,188 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ATOM-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:24,328 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:24,426 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:24,574 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=1INCH-USDT-SWAP&limit=100 "HTTP/2 200 OK"
