block_reason,breakout_id,channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_distance_atr,entry_px,exchange_stop_status,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_health_state,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,stop_confirmed,stop_state,system_name,time,trade_context_file,trade_id,trough_price,units
market_already_crossed_stop,,0.0397,канальный_выход_10_свечей,3265,0.00040499999999999944,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_170017_YGG-USDT-SWAP_long.json,0.0,0.0399321164204495,cancel_skipped,0.0395,0.0397,0.0391221164204495,YGG-USDT-SWAP,0.00073212,1.833402,0.903847,0.00046788,1.171697,0.577634,0.0404,10.659599999979351,1.0,-141.72600000004,-1.8488174370077775,STOP_UNVERIFIED,7641.008500000047,190482.0,Канальный выход 10 свечей,843.6721903072669,0.0008099999999999989,long,False,ERROR,Turtle 20,2026-03-19 17:54:42,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_175442_YGG-USDT-SWAP_long_trade.json,20260319_170016_YGG-USDT-SWAP_long,0.0395,3
market_already_crossed_stop,,0.1737,stopout_cooldown,6008,0.0033799999999999985,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_161037_THETA-USDT-SWAP_short.json,0.7084293494745836,0.1715055087987759,cancel_skipped,0.1737,0.17154,0.1782655087987759,THETA-USDT-SWAP,0.05579449,32.532186,8.253623,0.00240551,1.402584,0.355844,0.1737,11.83500000000109,1.0,-28.6819999999988,-1.2795456056159922,STOP_UNVERIFIED,2241.577000000001,1307.0,ATR стоп 2.0N,849.039090684269,0.06759999999999997,short,False,ERROR,Turtle 20,2026-03-19 17:50:45,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_175045_THETA-USDT-SWAP_short_trade.json,20260319_161036_THETA-USDT-SWAP_short,0.1711,1
market_already_crossed_stop,,2151.0,stopout_cooldown,1233,24.011000000000013,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_171524_ETH-USDT-SWAP_long.json,0.026164824499572647,2270.6282436010592,cancel_skipped,2228.0,2228.39,2222.6062436010593,ETH-USDT-SWAP,140.6282436,6.193363,2.928413,11.3717564,0.50082,0.236803,2271.56,2.2000100000000677,1.0,1.9962600000000852,0.07914356125663849,STOP_UNVERIFIED,2572.6218000000003,11.33,ATR стоп 2.0N,842.8265233571665,4.802200000000003,long,False,ERROR,Turtle 55,2026-03-19 17:35:57,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_173557_ETH-USDT-SWAP_long_trade.json,20260319_171523_ETH-USDT-SWAP_long,2228.0,1
market_already_crossed_stop,,1.1622,stopout_cooldown,734,0.018104999999999993,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_171950_AXS-USDT-SWAP_long.json,0.0,1.1710423798780782,cancel_skipped,1.1636,1.1753200000000001,1.1348323798780782,AXS-USDT-SWAP,0.01004238,0.857559,0.277337,0.10535762,8.996909,2.909628,1.2213,146.78848999999852,1.0,-215.70571000000183,-2.8806508565499658,STOP_UNVERIFIED,7405.875308333334,62499.0,ATR стоп 2.0N,836.3043020039149,0.003620999999999999,long,False,ERROR,Turtle 20,2026-03-19 17:32:04,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_173204_AXS-USDT-SWAP_long_trade.json,20260319_171950_AXS-USDT-SWAP_long,1.1636,3
market_already_crossed_stop,,0.088,канальный_выход_10_свечей,2711,0.000449999999999999,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_164634_ALGO-USDT-SWAP_long.json,0.7088617691635358,0.0886189877961236,cancel_skipped,0.0878,0.0882,0.0877189877961236,ALGO-USDT-SWAP,0.00421899,4.760817,4.687764,0.00058101,0.655629,0.645569,0.0891,7.828999999996864,1.0,-88.80500000001393,-1.195684092736423,STOP_UNVERIFIED,7419.82216666668,8358.0,Канальный выход 10 свечей,845.2751392058836,0.00899999999999998,long,False,ERROR,Turtle 20,2026-03-19 17:31:46,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_173146_ALGO-USDT-SWAP_long_trade.json,20260319_164633_ALGO-USDT-SWAP_long,0.0878,3
market_already_crossed_stop,,9.202,stopout_cooldown,4406,0.06955000000000026,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_161538_LINK-USDT-SWAP_short.json,0.4313443565779906,8.896,cancel_skipped,9.056,9.035100000000002,9.035100000000002,LINK-USDT-SWAP,0.306,3.439748,2.199856,0.048,0.539568,0.345075,9.056,0.0,1.0,-38.27199999999961,-1.7985611510791182,STOP_UNVERIFIED,2127.9232,239.2,ATR стоп 2.0N,850.038112475832,0.13910000000000053,short,False,ERROR,Turtle 55,2026-03-19 17:29:05,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_172905_LINK-USDT-SWAP_short_trade.json,20260319_161537_LINK-USDT-SWAP_short,8.896,1
market_already_crossed_stop,,1.1636,канальный_выход_10_свечей,241,0.018104999999999993,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_171527_AXS-USDT-SWAP_long.json,0.4087268710301064,1.2157,cancel_skipped,1.1636,1.17949,1.17949,AXS-USDT-SWAP,0.0547,4.499465,1.510632,0.0585,4.812042,1.615576,1.2707,282.4545199999982,1.0,-612.6992800000022,-5.895312898405579,STOP_UNVERIFIED,10308.479969164318,84052.0,Канальный выход 10 свечей,842.7338828120302,0.003620999999999999,long,False,ERROR,Turtle 20,2026-03-19 17:19:28,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_171928_AXS-USDT-SWAP_long_trade.json,20260319_171527_AXS-USDT-SWAP_long,1.1636,4
market_already_crossed_stop,,1.2083,stopout_cooldown,4752,0.02622000000000001,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_155526_AXS-USDT-SWAP_short.json,0.1736126770932169,1.166147875606616,cancel_skipped,1.205,1.19564,1.218587875606616,AXS-USDT-SWAP,0.10805212,9.265731,2.060491,0.00514788,0.441443,0.098167,1.205,6.9626400000000634,1.0,-78.45797999999995,-3.3316636085431055,STOP_UNVERIFIED,2354.9190200000003,20194.0,ATR стоп 2.0N,849.9055783653125,0.005244000000000002,short,False,ERROR,Turtle 55,2026-03-19 17:14:38,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_171438_AXS-USDT-SWAP_short_trade.json,20260319_155525_AXS-USDT-SWAP_short,1.1636,1
market_already_crossed_stop,,0.3003,stopout_cooldown,1577,0.0017500000000000154,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_161838_LDO-USDT-SWAP_short.json,0.170711297071023,0.2937012552301257,cancel_skipped,0.2978,0.29720125523012575,0.29720125523012575,LDO-USDT-SWAP,0.01089874,3.710827,3.113927,0.00120126,0.409006,0.343216,0.2978,0.0,1.0,-0.07939999999988245,-0.03788677675139614,STOP_UNVERIFIED,2105.838000000001,704.0,ATR стоп 2.0N,848.5158458601544,0.003500000000000031,short,False,ERROR,Turtle 55,2026-03-19 16:44:55,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_164455_LDO-USDT-SWAP_short_trade.json,20260319_161837_LDO-USDT-SWAP_short,0.2937012552301257,1
market_already_crossed_stop,,0.16435,stopout_cooldown,318,0.0018860000000000016,D:\GIT\okx-trading-bot\v08x\091\logs\entry_context\20260319_162529_XLM-USDT-SWAP_long.json,0.5517625166368014,0.171470624106377,cancel_skipped,0.16594,0.167698624106377,0.167698624106377,XLM-USDT-SWAP,0.00712062,4.152679,1.887758,0.00019938,0.116274,0.052857,0.1715,0.0,1.0,-77.3623700000015,-3.225406179746515,STOP_UNVERIFIED,2398.5310900000018,139.88,ATR стоп 2.0N,846.5665720610173,0.3772000000000003,long,False,ERROR,Turtle 20,2026-03-19 16:30:47,D:\GIT\okx-trading-bot\v08x\091\logs\trade_context\20260319_163047_XLM-USDT-SWAP_long_trade.json,20260319_162529_XLM-USDT-SWAP_long,0.16594,1
