2026-03-27 04:24:49,821 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 04:55:01,026 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAGIC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 04:55:04,528 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MET-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:04:29,618 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LRC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:08:23,610 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ATOM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:09:14,732 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHW-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:13:52,729 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:23:06,528 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CELO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:49:03,175 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for TRX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:53:03,921 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LDO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:53:04,482 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 05:53:22,484 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for RESOLV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:08:14,530 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:16:05,386 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CAT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:20:44,946 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:27:44,242 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XTZ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:45:11,843 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BLUAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:49:19,027 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAU-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:49:51,404 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BAND-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:49:53,394 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BIO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:50:18,654 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHW-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 06:51:33,336 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 07:17:32,238 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUSHI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 07:26:04,781 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for NOT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 07:47:35,131 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LIT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 07:59:20,940 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for GMT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-27 07:59:28,002 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ICP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
