details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-29 14:13:49
"{""ts"": ""2026-03-29 14:13:49"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 0, ""available_after_bans_count"": 108, ""trade_ready_count"": 1, ""scanner_total"": 108, ""scanner_scanned"": 10, ""scanner_ready"": 10, ""scanner_pending"": 98, ""scanner_failed"": 0, ""scanner_allowed"": 2, ""scanner_blocked"": 8, ""scanner_dead"": 2, ""scanner_saw"": 0, ""scanner_ripping"": 6, ""scanner_status_text"": ""SCANNING"", ""scanner_safe"": 2, ""scanner_caution"": 0, ""scanner_risky"": 8, ""scanner_blacklist"": 8, ""scanner_exec_watch"": 6, ""scanner_admitted"": 2, ""signal_funnel"": {""cycle_id"": 1, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-29 14:13:49
SYNC recheck during entry recovery: PENDING_RECHECK,close_pending_exchange,THETA-USDT-SWAP,sync_recheck_during_entry_recovery:_pending_recheck,2026-03-29 14:23:38
,filter_diagnostics,,unknown,2026-03-29 14:29:02
"{""ts"": ""2026-03-29 14:29:02"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 108, ""trade_ready_count"": 13, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 50, ""scanner_blocked"": 58, ""scanner_dead"": 21, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 50, ""scanner_caution"": 0, ""scanner_risky"": 58, ""scanner_blacklist"": 58, ""scanner_exec_watch"": 37, ""scanner_admitted"": 50, ""signal_funnel"": {""cycle_id"": 7, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-29 14:29:02
,filter_diagnostics,,unknown,2026-03-29 14:45:28
"{""ts"": ""2026-03-29 14:45:28"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 108, ""trade_ready_count"": 17, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 51, ""scanner_blocked"": 57, ""scanner_dead"": 20, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 51, ""scanner_caution"": 0, ""scanner_risky"": 57, ""scanner_blacklist"": 57, ""scanner_exec_watch"": 37, ""scanner_admitted"": 51, ""signal_funnel"": {""cycle_id"": 12, ""instruments_scanned"": 30, ""prefilter_skipped"": 78, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 31, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-29 14:45:28
SYNC confirmed close after exchange absence,close_pending_exchange,THETA-USDT-SWAP,sync_confirmed_close_after_exchange_absence,2026-03-29 14:50:35
SYNC confirmed close after stop fault: PENDING_RECHECK,close_pending_exchange,THETA-USDT-SWAP,sync_confirmed_close_after_stop_fault:_pending_recheck,2026-03-29 14:53:09
,filter_diagnostics,,unknown,2026-03-29 15:01:48
"{""ts"": ""2026-03-29 15:01:48"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 108, ""blacklist_count"": 0, ""blocked_count"": 0, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 0, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 108, ""trade_ready_count"": 18, ""scanner_total"": 108, ""scanner_scanned"": 108, ""scanner_ready"": 108, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 52, ""scanner_blocked"": 55, ""scanner_dead"": 20, ""scanner_saw"": 0, ""scanner_ripping"": 35, ""scanner_status_text"": ""READY"", ""scanner_safe"": 52, ""scanner_caution"": 0, ""scanner_risky"": 55, ""scanner_blacklist"": 55, ""scanner_exec_watch"": 35, ""scanner_admitted"": 52, ""signal_funnel"": {""cycle_id"": 17, ""instruments_scanned"": 30, ""prefilter_skipped"": 78, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 30, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-29 15:01:48
SYNC confirmed close after exchange absence,close_pending_exchange,LQTY-USDT-SWAP,sync_confirmed_close_after_exchange_absence,2026-03-29 15:04:17
,filter_diagnostics,,unknown,2026-03-29 15:17:02
