2026-03-25 18:47:38,782 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/trade/orders-pending?instType=SWAP&instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:39,072 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:39,190 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=1INCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:39,655 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:39,660 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ARB-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:40,022 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:40,035 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=1INCH-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:40,443 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=1INCH-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:40,648 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASP-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:40,976 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:41,067 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:41,375 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:41,627 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ASTER-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:41,777 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=2Z-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:42,000 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:42,158 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=2Z-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:42,561 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ATOM-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:42,649 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:42,974 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:43,040 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:43,477 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=A-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:43,533 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AUCTION-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:43,885 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:43,912 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AUCTION-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:44,262 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:44,639 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AAVE-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:44,817 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AVAX-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:45,046 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ACT-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:45,188 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AVAX-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:45,415 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ACT-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:45,739 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AXS-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:45,800 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ACT-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:46,118 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AXS-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:46,259 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ACT-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:46,633 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ADA-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:46,711 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BAND-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:47,041 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ADA-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:47,161 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BAND-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:47,423 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ADA-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:47,735 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:47,865 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ADA-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:48,145 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:48,268 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AI16Z-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:48,642 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AI16Z-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:48,714 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BIO-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:49,082 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AI16Z-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:49,105 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BIO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:49,512 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=AI16Z-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:49,671 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BLUAI-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:49,893 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AKITA-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:50,041 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BLUAI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:50,245 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AKITA-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:50,590 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BNB-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:50,623 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AKITA-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:50,960 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BNB-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:51,011 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=AKITA-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:51,377 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:51,529 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BOME-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:51,792 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ALGO-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:51,900 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BOME-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:52,203 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ALGO-USDT-SWAP&limit=100 "HTTP/2 200 OK"
