details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-20 17:02:55
"{""ts"": ""2026-03-20 17:02:55"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 10, ""hard_blocked_unique_count"": 11, ""execution_watchlist_count"": 0, ""open_positions_count"": 1, ""available_after_bans_count"": 101, ""trade_ready_count"": 33, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 44, ""scanner_blocked"": 67, ""scanner_dead"": 22, ""scanner_saw"": 0, ""scanner_ripping"": 45, ""scanner_status_text"": ""READY"", ""scanner_safe"": 44, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 67, ""scanner_exec_watch"": 45, ""scanner_admitted"": 44, ""signal_funnel"": {""cycle_id"": 154, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 17:02:55
,filter_diagnostics,,unknown,2026-03-20 17:18:01
"{""ts"": ""2026-03-20 17:18:01"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 1, ""blocked_count"": 1, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 2, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 110, ""trade_ready_count"": 40, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 44, ""scanner_blocked"": 67, ""scanner_dead"": 22, ""scanner_saw"": 0, ""scanner_ripping"": 45, ""scanner_status_text"": ""READY"", ""scanner_safe"": 44, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 67, ""scanner_exec_watch"": 45, ""scanner_admitted"": 44, ""signal_funnel"": {""cycle_id"": 196, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 17:18:01
,filter_diagnostics,,unknown,2026-03-20 17:33:01
"{""ts"": ""2026-03-20 17:33:01"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 3, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 109, ""trade_ready_count"": 38, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 44, ""scanner_blocked"": 67, ""scanner_dead"": 22, ""scanner_saw"": 0, ""scanner_ripping"": 45, ""scanner_status_text"": ""READY"", ""scanner_safe"": 44, ""scanner_caution"": 0, ""scanner_risky"": 67, ""scanner_blacklist"": 67, ""scanner_exec_watch"": 45, ""scanner_admitted"": 44, ""signal_funnel"": {""cycle_id"": 236, ""instruments_scanned"": 39, ""prefilter_skipped"": 73, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 39, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 17:33:01
,filter_diagnostics,,unknown,2026-03-20 17:48:14
"{""ts"": ""2026-03-20 17:48:14"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 2, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 2, ""available_after_bans_count"": 108, ""trade_ready_count"": 36, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 1, ""scanner_allowed"": 42, ""scanner_blocked"": 69, ""scanner_dead"": 22, ""scanner_saw"": 0, ""scanner_ripping"": 47, ""scanner_status_text"": ""READY"", ""scanner_safe"": 42, ""scanner_caution"": 0, ""scanner_risky"": 69, ""scanner_blacklist"": 69, ""scanner_exec_watch"": 47, ""scanner_admitted"": 42, ""signal_funnel"": {""cycle_id"": 281, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 17:48:14
,filter_diagnostics,,unknown,2026-03-20 18:03:19
"{""ts"": ""2026-03-20 18:03:19"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 2, ""blocked_count"": 2, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 2, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 108, ""trade_ready_count"": 41, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 48, ""scanner_blocked"": 64, ""scanner_dead"": 23, ""scanner_saw"": 1, ""scanner_ripping"": 40, ""scanner_status_text"": ""READY"", ""scanner_safe"": 48, ""scanner_caution"": 0, ""scanner_risky"": 64, ""scanner_blacklist"": 63, ""scanner_exec_watch"": 40, ""scanner_admitted"": 48, ""signal_funnel"": {""cycle_id"": 306, ""instruments_scanned"": 43, ""prefilter_skipped"": 69, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 43, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 18:03:19
