early_exit_flag,early_exit_gap_pct,exit_efficiency,exit_reason,hybrid_stop_mode,inst_id,mfe_pct,realized_pnl_pct,realized_r,side,system_name,trade_id,trend_capture_ratio,trend_move_r,trend_strength_r,turtle_exit_period,units
False,0.262467,0.0,stopout_cooldown,DONCHIAN_ACTIVE,MET-USDT-SWAP,0.262467,-0.06561679790025525,-1.25,short,Turtle 55,20260321_063821_MET-USDT-SWAP_short,-0.25,5.0,5.0,20,1
False,0.262467,0.0,stopout_cooldown,DONCHIAN_ACTIVE,MET-USDT-SWAP,0.262467,-0.06561679790025525,-1.25,short,Turtle 55,20260321_063744_MET-USDT-SWAP_short,-0.25,5.0,5.0,20,1
False,0.131406,0.0,stopout_cooldown,DONCHIAN_ACTIVE,MET-USDT-SWAP,0.131406,-0.06570302233902037,-1.25,short,Turtle 55,20260321_063702_MET-USDT-SWAP_short,-0.5,2.5,2.5,20,1
False,0.131406,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,DONCHIAN_ACTIVE,MET-USDT-SWAP,0.131406,-0.06570302233902035,-1.25,short,Turtle 55,20260321_063544_MET-USDT-SWAP_short,-0.5,2.5,2.5,20,1
False,0.131406,0.0,stopout_cooldown,DONCHIAN_ACTIVE,MET-USDT-SWAP,0.131406,-0.06570302233902035,-1.25,short,Turtle 55,20260321_063506_MET-USDT-SWAP_short,-0.5,2.5,2.5,20,1
False,0.061192,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,ATR_INITIAL,PEPE-USDT-SWAP,0.061192,-0.08441524996442074,-0.318541,long,Turtle 20,20260321_063019_PEPE-USDT-SWAP_long,-1.379514,0.230908,0.230908,10,1
False,0.0,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,ATR_INITIAL,LQTY-USDT-SWAP,0.0,-0.20304116181810183,0.0,short,Turtle 20,20260321_063024_LQTY-USDT-SWAP_short,0.0,0.0,0.0,10,1
False,0.0,0.0,ошибка:_первичный_стоп_не_подтверждён_на_бирже,ATR_INITIAL,THETA-USDT-SWAP,0.0,0.06238015112199503,0.0,short,Turtle 55,20260321_062202_THETA-USDT-SWAP_short,0.0,0.0,0.0,20,1
False,0.0,0.0,stopout_cooldown,ATR_INITIAL,THETA-USDT-SWAP,0.0,-0.2911963078994248,0.0,short,Turtle 55,20260321_062125_THETA-USDT-SWAP_short,0.0,0.0,0.0,20,1
False,0.035018,0.0,stopout_cooldown,ATR_INITIAL,MINA-USDT-SWAP,0.035018,-0.2808117670719351,-1.215362,long,Turtle 20,20260321_061624_MINA-USDT-SWAP_long,-8.019069,0.151559,0.151559,10,1
False,0.0,0.0,stopout_cooldown,ATR_INITIAL,THETA-USDT-SWAP,0.0,-0.38717063268164825,0.0,short,Turtle 55,20260321_062045_THETA-USDT-SWAP_short,0.0,0.0,0.0,20,1
