breakout_id,cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,reentry_check,True,ok,CELO-USDT-SWAP,,,0.0731,False,,,,False,,long,5m,2026-03-29 13:07:56
,False,,reentry_check,True,ok,CELO-USDT-SWAP,,,0.0731,False,,,,False,,short,5m,2026-03-29 13:07:56
,,,reentry_check,True,scan,CELO-USDT-SWAP,,,0.0731,False,0.0,,,,,scan,5m,2026-03-29 13:07:56
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,long,5m,2026-03-29 13:08:01
,False,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.15,False,,,,False,,short,5m,2026-03-29 13:08:01
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,long,5m,2026-03-29 13:08:05
,False,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.0908,False,,,,False,,short,5m,2026-03-29 13:08:05
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.0,False,,,,False,,long,5m,2026-03-29 13:08:10
,False,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.0,False,,,,False,,short,5m,2026-03-29 13:08:10
,False,,reentry_check,True,ok,ETH-USDT-SWAP,,,1996.74,False,,,,False,,long,5m,2026-03-29 13:08:11
,False,,reentry_check,True,ok,ETH-USDT-SWAP,,,1996.74,False,,,,False,,short,5m,2026-03-29 13:08:11
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1433,False,,,,False,,long,5m,2026-03-29 13:08:28
,False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1433,False,,,,False,,short,5m,2026-03-29 13:08:28
,False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3034,False,,,,False,,long,5m,2026-03-29 13:08:31
,False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3034,False,,,,False,,short,5m,2026-03-29 13:08:31
,False,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.489,False,,,,False,,long,5m,2026-03-29 13:08:34
,False,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.489,False,,,,False,,short,5m,2026-03-29 13:08:34
,,,reentry_check,True,scan,LINK-USDT-SWAP,,,8.489,False,1.6,,,,,scan,5m,2026-03-29 13:08:34
LINK-USDT-SWAP|short|Turtle 20|20|1774778400000|8.50000000,True,,reentry_check,False,same-price reentry blocked 817s (0.12 ATR),LINK-USDT-SWAP,,,8.489,,,,,,,short,5m,2026-03-29 13:08:34
,False,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2662,False,,,,False,,long,5m,2026-03-29 13:08:38
,False,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2662,False,,,,False,,short,5m,2026-03-29 13:08:38
,,,reentry_check,True,scan,LQTY-USDT-SWAP,,,0.2662,False,0.0,,,,,scan,5m,2026-03-29 13:08:38
,False,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.94,False,,,,False,,long,5m,2026-03-29 13:08:41
,False,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.94,False,,,,False,,short,5m,2026-03-29 13:08:41
,False,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1621,False,,,,False,,long,5m,2026-03-29 13:08:50
,False,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1621,False,,,,False,,short,5m,2026-03-29 13:08:50
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1022,False,,,,False,,long,5m,2026-03-29 13:08:54
,False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1022,False,,,,False,,short,5m,2026-03-29 13:08:54
,False,,reentry_check,True,ok,RESOLV-USDT-SWAP,,,0.03855,False,,,,False,,long,5m,2026-03-29 13:09:00
,False,,reentry_check,True,ok,RESOLV-USDT-SWAP,,,0.03855,False,,,,False,,short,5m,2026-03-29 13:09:00
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.18,False,,,,False,,long,5m,2026-03-29 13:09:08
,False,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.18,False,,,,False,,short,5m,2026-03-29 13:09:08
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,long,5m,2026-03-29 13:09:16
,False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2033,False,,,,False,,short,5m,2026-03-29 13:09:16
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1505,False,,,,False,,long,5m,2026-03-29 13:09:18
,False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1505,False,,,,False,,short,5m,2026-03-29 13:09:18
,,,reentry_check,True,scan,THETA-USDT-SWAP,,,0.1505,False,0.0,,,,,scan,5m,2026-03-29 13:09:18
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16756,False,,,,False,,long,5m,2026-03-29 13:09:28
,False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16756,False,,,,False,,short,5m,2026-03-29 13:09:28
,,,reentry_check,True,scan,XLM-USDT-SWAP,,,0.16756,False,0.0,,,,,scan,5m,2026-03-29 13:09:28
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3336,False,,,,False,,long,5m,2026-03-29 13:09:31
,False,,reentry_check,True,ok,XRP-USDT-SWAP,,,1.3336,False,,,,False,,short,5m,2026-03-29 13:09:31
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1061,False,,,,False,,long,5m,2026-03-29 13:09:35
,False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1061,False,,,,False,,short,5m,2026-03-29 13:09:35
,,,reentry_check,True,scan,YB-USDT-SWAP,,,0.1061,False,0.0,,,,,scan,5m,2026-03-29 13:09:35
,False,,reentry_check,True,ok,YFI-USDT-SWAP,,,2409.0,False,,,,False,,long,5m,2026-03-29 13:09:36
,False,,reentry_check,True,ok,YFI-USDT-SWAP,,,2409.0,False,,,,False,,short,5m,2026-03-29 13:09:36
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.08,False,,,,False,,long,5m,2026-03-29 13:10:20
