2026-03-28 20:50:38,418 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MASK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:56:10,209 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YGG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 20:57:06,413 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:04:03,460 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for STRK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:12:01,166 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ADA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:17:31,214 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ARB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:24:20,425 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:44:10,660 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:45:03,715 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZETA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:58:56,267 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 21:59:21,140 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:13:41,386 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MINA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:29:21,017 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SKY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:35:54,703 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XAG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:48:55,811 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHW-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:53:01,260 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAGIC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 22:55:40,078 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for COMP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:04:02,068 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:06:07,312 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-28 23:24:56,908 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for PEPE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:02:47,945 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SOL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:15:24,391 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:30:41,210 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:32:33,270 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:48:39,044 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BTC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:48:52,780 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AAVE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 00:53:32,034 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for IOTA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:01:28,814 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LRC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:13:19,288 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HMSTR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:14:22,725 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XSR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:17:44,732 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for OP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:38:02,940 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AXS-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:41:32,362 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BTC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 01:52:39,467 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 02:17:42,674 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for H-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 02:17:43,113 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 02:44:47,951 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AUCTION-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 02:50:50,811 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ALGO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:00:50,158 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:12:52,463 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AKITA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:13:29,000 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:14:28,905 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SCR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:16:33,466 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for EOS-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:22:50,264 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:26:26,155 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SPK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:28:36,506 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CFX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:39:38,867 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YGG-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:48:06,294 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ROBO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:49:17,473 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CAT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:52:52,472 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ETHFI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:54:17,597 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for PIGGY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:56:25,024 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ICP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 03:59:28,841 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LPT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:17:58,815 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for RAVE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:24:12,102 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZBCN-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:30:02,913 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ASP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:30:31,604 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:30:50,291 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for HMSTR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:38:05,653 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XTZ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:52:01,194 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for H-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 04:52:18,132 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LIT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:01:56,361 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZETA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:02:47,493 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAJOR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:03:08,495 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ARB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:06:31,920 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ASP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:16:41,098 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:17:43,907 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MAJOR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:21:10,276 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SUI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:23:50,395 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for PIGGY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:27:52,345 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ACT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:29:03,704 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LDO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:32:36,512 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for STRK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 05:41:14,621 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for MASK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 06:14:00,204 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
