current_price,error_code,error_msg,event,inst_id,requested_stop,response,side,trade_id,ts
0.00798,,switch_to_turtle,STOP_ERROR,GMT-USDT-SWAP,0.008973,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",short,20260320_054542_GMT-USDT-SWAP_short,2026-03-20 05:55:10
1.274,,turtle_update,STOP_ERROR,AXS-USDT-SWAP,1.25,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_032031_AXS-USDT-SWAP_long,2026-03-20 05:55:34
4.665,,turtle_update,STOP_ERROR,KSM-USDT-SWAP,4.593,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_034538_KSM-USDT-SWAP_long,2026-03-20 06:00:17
4.659,,turtle_update,STOP_ERROR,KSM-USDT-SWAP,4.599,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_034538_KSM-USDT-SWAP_long,2026-03-20 06:10:26
0.3971,,turtle_update,STOP_ERROR,XTZ-USDT-SWAP,0.3932,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_042259_XTZ-USDT-SWAP_long,2026-03-20 06:10:30
3.182,,atr_update,STOP_ERROR,INJ-USDT-SWAP,3.1168,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_054537_INJ-USDT-SWAP_long,2026-03-20 06:10:44
0.396,,turtle_update,STOP_ERROR,XTZ-USDT-SWAP,0.3936,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_042259_XTZ-USDT-SWAP_long,2026-03-20 06:15:25
3.194,,atr_update,STOP_ERROR,INJ-USDT-SWAP,3.1299,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_054537_INJ-USDT-SWAP_long,2026-03-20 06:15:39
0.3981,,turtle_update,STOP_ERROR,XTZ-USDT-SWAP,0.3941,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_042259_XTZ-USDT-SWAP_long,2026-03-20 06:20:19
3.2,,atr_update,STOP_ERROR,INJ-USDT-SWAP,3.1361000000000003,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_054537_INJ-USDT-SWAP_long,2026-03-20 06:20:30
3.2,,switch_to_turtle,STOP_ERROR,INJ-USDT-SWAP,3.1361000000000003,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",long,20260320_054537_INJ-USDT-SWAP_long,2026-03-20 06:20:32
2748.0,,market_already_crossed_stop,STOP_REJECTED,YFI-USDT-SWAP,2751.0603474431123,{},long,20260320_062009_YFI-USDT-SWAP_long,2026-03-20 06:28:56
0.0,,pre_close:ATR стоп 2.0N,STOP_ERROR,YFI-USDT-SWAP,0.0,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": ""3404916269106159616"", ""clOrdId"": """", ""sCode"": ""51400"", ""sMsg"": ""Order cancellation failed as the order has been filled, canceled or does not exist."", ""tag"": """"}], ""msg"": """"}",long,20260320_062009_YFI-USDT-SWAP_long,2026-03-20 06:28:56
698.5,,turtle_update,STOP_ERROR,BNB-USDT-SWAP,704.6,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",short,20260320_045042_BNB-USDT-SWAP_short,2026-03-20 06:30:27
699.3,,turtle_update,STOP_ERROR,BNB-USDT-SWAP,704.0,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """"}",short,20260320_045042_BNB-USDT-SWAP_short,2026-03-20 06:35:17
