block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 632s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70208.3,True,short,2026-03-20 03:59:28
cooldown после ATR-стопа ещё активен 592s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:00:07
cooldown после ATR-стопа ещё активен 563s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:00:36
cooldown после ATR-стопа ещё активен 516s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:01:23
cooldown после ATR-стопа ещё активен 482s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:01:57
cooldown после ATR-стопа ещё активен 444s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:02:35
cooldown после ATR-стопа ещё активен 417s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:03:02
cooldown после ATR-стопа ещё активен 378s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:03:41
cooldown после ATR-стопа ещё активен 351s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:04:08
cooldown после ATR-стопа ещё активен 311s; цена отошла только на 0.10 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70247.8,True,short,2026-03-20 04:04:49
cooldown после ATR-стопа ещё активен 281s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:05:18
cooldown после ATR-стопа ещё активен 208s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:06:31
cooldown после ATR-стопа ещё активен 172s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:07:07
cooldown после ATR-стопа ещё активен 123s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:07:56
cooldown после ATR-стопа ещё активен 95s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:08:24
cooldown после ATR-стопа ещё активен 50s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:09:09
cooldown после ATR-стопа ещё активен 23s; цена отошла только на 0.45 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70332.8,True,short,2026-03-20 04:09:37
cooldown после ATR-стопа ещё активен 1703s; цена отошла только на 0.24 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.94,True,long,2026-03-20 04:21:11
cooldown после ATR-стопа ещё активен 1607s; цена отошла только на 0.24 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.94,True,long,2026-03-20 04:22:46
cooldown после ATR-стопа ещё активен 1529s; цена отошла только на 0.24 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.94,True,long,2026-03-20 04:24:05
cooldown после ATR-стопа ещё активен 1455s; цена отошла только на 0.05 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.88,True,long,2026-03-20 04:25:19
cooldown после ATR-стопа ещё активен 1386s; цена отошла только на 0.05 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.88,True,long,2026-03-20 04:26:27
cooldown после ATR-стопа ещё активен 1312s; цена отошла только на 0.05 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.88,True,long,2026-03-20 04:27:42
cooldown после ATR-стопа ещё активен 1242s; цена отошла только на 0.05 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.88,True,long,2026-03-20 04:28:51
cooldown после ATR-стопа ещё активен 1181s; цена отошла только на 0.05 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.88,True,long,2026-03-20 04:29:52
cooldown после ATR-стопа ещё активен 1112s; цена отошла только на 0.63 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,112.02,True,long,2026-03-20 04:31:01
cooldown после ATR-стопа ещё активен 1643s; цена отошла только на 0.00 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.8,True,long,2026-03-20 04:31:04
cooldown после ATR-стопа ещё активен 1041s; цена отошла только на 0.63 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,112.02,True,long,2026-03-20 04:32:13
cooldown после ATR-стопа ещё активен 1572s; цена отошла только на 0.00 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.8,True,long,2026-03-20 04:32:15
cooldown после ATR-стопа ещё активен 986s; цена отошла только на 0.63 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,112.02,True,long,2026-03-20 04:33:08
cooldown после ATR-стопа ещё активен 1517s; цена отошла только на 0.00 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.8,True,long,2026-03-20 04:33:10
cooldown после ATR-стопа ещё активен 945s; цена отошла только на 0.63 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,112.02,True,long,2026-03-20 04:33:48
cooldown после ATR-стопа ещё активен 1476s; цена отошла только на 0.00 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.8,True,long,2026-03-20 04:33:51
cooldown после ATR-стопа ещё активен 890s; цена отошла только на 0.63 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,112.02,True,long,2026-03-20 04:34:43
cooldown после ATR-стопа ещё активен 1422s; цена отошла только на 0.00 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.8,True,long,2026-03-20 04:34:45
cooldown после ATR-стопа ещё активен 1380s; цена отошла только на 0.27 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.9,True,long,2026-03-20 04:35:27
cooldown после ATR-стопа ещё активен 1317s; цена отошла только на 0.27 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.9,True,long,2026-03-20 04:36:31
cooldown после ATR-стопа ещё активен 1245s; цена отошла только на 0.27 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.9,True,long,2026-03-20 04:37:42
cooldown после ATR-стопа ещё активен 1195s; цена отошла только на 0.27 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.9,True,long,2026-03-20 04:38:32
cooldown после ATR-стопа ещё активен 1149s; цена отошла только на 0.27 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.9,True,long,2026-03-20 04:39:19
cooldown после ATR-стопа ещё активен 1098s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:40:09
cooldown после ATR-стопа ещё активен 1053s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:40:54
cooldown после ATR-стопа ещё активен 999s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:41:49
cooldown после ATR-стопа ещё активен 954s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:42:33
