early_exit_flag,exit_reason,hybrid_stop_mode,inst_id,realized_r,retained_r_share,side,system_name,trade_id,trend_hold_state,trend_move_r,units
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,1INCH-USDT-SWAP,-0.645161,-5.000008,long,Turtle 20,20260331_060102_1INCH-USDT-SWAP_long,INITIAL_RISK,0.129032,1
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,XAG-USDT-SWAP,-0.143007,-0.781831,long,Turtle 55,20260331_043137_XAG-USDT-SWAP_long,TREND_ACTIVE,0.182913,2
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,XTZ-USDT-SWAP,-1.794032,-3.007895,long,Turtle 20,20260331_040025_XTZ-USDT-SWAP_long,TREND_ACTIVE,0.596441,1
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,IMX-USDT-SWAP,-0.269164,-2.474161,short,Turtle 20,20260330_223313_IMX-USDT-SWAP_short,TREND_ACTIVE,0.10879,4
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,MINA-USDT-SWAP,0.0,0.0,short,Turtle 55,20260331_033051_MINA-USDT-SWAP_short,INITIAL_RISK,0.0,1
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,ETHW-USDT-SWAP,-0.02212,-316.0,short,Turtle 55,20260330_223306_ETHW-USDT-SWAP_short,INITIAL_RISK,7e-05,1
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,XAG-USDT-SWAP,-5.161301,-20.000004,short,Turtle 20,20260331_033055_XAG-USDT-SWAP_short,INITIAL_RISK,0.258065,1
False,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,AVAX-USDT-SWAP,0.787018,7.386373,long,Turtle 20,20260331_022331_AVAX-USDT-SWAP_long,TREND_ACTIVE,0.10655,6
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,IOTA-USDT-SWAP,-1.153844,-9.705874,short,Turtle 20,20260331_023020_IOTA-USDT-SWAP_short,INITIAL_RISK,0.118881,1
False,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,AVAX-USDT-SWAP,0.0,0.0,long,Turtle 55,20260331_020133_AVAX-USDT-SWAP_long,INITIAL_RISK,0.008839,1
