block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
same-price reentry blocked 5373s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:32:28
same-price reentry blocked 5325s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:16
same-price reentry blocked 5395s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:16
same-price reentry blocked 5296s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:45
same-price reentry blocked 5365s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:45
same-price reentry blocked 5282s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:59
same-price reentry blocked 5352s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:33:59
same-price reentry blocked 5262s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:19
same-price reentry blocked 5332s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:19
same-price reentry blocked 5250s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:31
same-price reentry blocked 5319s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:31
same-price reentry blocked 5238s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:43
same-price reentry blocked 5308s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:43
same-price reentry blocked 5226s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:55
same-price reentry blocked 5296s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:34:55
same-price reentry blocked 5208s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:35:13
same-price reentry blocked 5278s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:35:13
same-price reentry blocked 5389s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:41:47
same-price reentry blocked 5298s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:18
same-price reentry blocked 5390s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:18
same-price reentry blocked 5267s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:49
same-price reentry blocked 5359s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:49
same-price reentry blocked 5261s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:56
same-price reentry blocked 5352s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:43:56
same-price reentry blocked 5224s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:33
same-price reentry blocked 5315s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:33
same-price reentry blocked 5210s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:47
same-price reentry blocked 5302s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:47
same-price reentry blocked 5201s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:56
same-price reentry blocked 5292s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:44:56
same-price reentry blocked 5171s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:26
same-price reentry blocked 5263s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:26
same-price reentry blocked 5271s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:45:33
same-price reentry blocked 5158s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:39
same-price reentry blocked 5250s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:39
same-price reentry blocked 5265s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:45:39
same-price reentry blocked 5145s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:52
same-price reentry blocked 5236s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:45:52
same-price reentry blocked 5244s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:46:00
same-price reentry blocked 5105s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:46:32
same-price reentry blocked 5196s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:46:32
same-price reentry blocked 5204s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:46:40
same-price reentry blocked 5082s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:46:55
same-price reentry blocked 5174s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:46:55
same-price reentry blocked 5182s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:47:02
same-price reentry blocked 5051s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:47:26
same-price reentry blocked 5142s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:47:26
same-price reentry blocked 5151s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:47:34
same-price reentry blocked 5028s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:47:49
same-price reentry blocked 5119s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:47:49
same-price reentry blocked 5128s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:47:57
same-price reentry blocked 4981s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:48:35
same-price reentry blocked 5073s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:48:35
same-price reentry blocked 5081s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:48:43
same-price reentry blocked 4958s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:48:59
same-price reentry blocked 5050s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:48:59
same-price reentry blocked 5058s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:49:07
same-price reentry blocked 4926s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:49:31
same-price reentry blocked 5017s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:49:31
same-price reentry blocked 5025s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:49:39
same-price reentry blocked 4899s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:49:58
same-price reentry blocked 4990s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:49:58
same-price reentry blocked 4999s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:50:05
same-price reentry blocked 4855s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:50:41
same-price reentry blocked 4947s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:50:41
same-price reentry blocked 4955s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:50:49
same-price reentry blocked 4813s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:51:24
same-price reentry blocked 4905s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:51:24
same-price reentry blocked 4913s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:51:31
same-price reentry blocked 4784s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:51:53
same-price reentry blocked 4875s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:51:53
same-price reentry blocked 4884s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:52:00
same-price reentry blocked 4724s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:52:52
same-price reentry blocked 4816s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:52:52
same-price reentry blocked 4824s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:53:00
same-price reentry blocked 4689s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:53:27
same-price reentry blocked 4781s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:53:27
same-price reentry blocked 4788s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:53:36
same-price reentry blocked 4662s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:53:54
same-price reentry blocked 4754s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:53:54
same-price reentry blocked 4762s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:54:03
same-price reentry blocked 4600s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:54:56
same-price reentry blocked 4692s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:54:56
same-price reentry blocked 4700s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:55:04
same-price reentry blocked 4564s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:55:32
same-price reentry blocked 4656s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:55:32
same-price reentry blocked 4663s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:55:41
same-price reentry blocked 4537s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:55:59
same-price reentry blocked 4629s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:55:59
same-price reentry blocked 4638s (0.08 ATR),True,MAGIC-USDT-SWAP,,0.0,0.05674,False,short,2026-03-30 21:56:06
same-price reentry blocked 4474s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:57:02
same-price reentry blocked 4566s (0.00 ATR),True,ENA-USDT-SWAP,,0.0,0.0633,False,short,2026-03-30 21:57:02
