2026-03-29 14:59:19,116 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop LQTY-USDT-SWAP long payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP785559116', 'slTriggerPx': '0.2689', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:00:10,178 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:03:01,956 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for A-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:04:24,558 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop LQTY-USDT-SWAP long payload={'instId': 'LQTY-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP785864558', 'slTriggerPx': '0.2677', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:04:25,646 | INFO | root | okx_gateway:close_position:466 | Closing position LQTY-USDT-SWAP. Синхронизация: позиция отсутствует на бирже
2026-03-29 15:07:51,112 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:08:52,547 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for CAT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:10:43,771 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for NEAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:20:11,210 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:26:46,867 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to SAND-USDT-SWAP (isolated)
2026-03-29 15:26:47,114 | INFO | root | okx_gateway:place_market_order:639 | Placing order SAND-USDT-SWAP sell qty=3901.0 attached_stop=True attached_stop_px=0.0737
2026-03-29 15:33:16,908 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for TSLA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:37:12,749 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to ZIL-USDT-SWAP (isolated)
2026-03-29 15:37:13,113 | INFO | root | okx_gateway:place_market_order:639 | Placing order ZIL-USDT-SWAP sell qty=7699.0 attached_stop=True attached_stop_px=0.00378
2026-03-29 15:37:14,451 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to INJ-USDT-SWAP (isolated)
2026-03-29 15:37:14,817 | INFO | root | okx_gateway:place_market_order:639 | Placing order INJ-USDT-SWAP sell qty=10036.0 attached_stop=True attached_stop_px=2.83
2026-03-29 15:37:16,441 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to OP-USDT-SWAP (isolated)
2026-03-29 15:37:16,814 | INFO | root | okx_gateway:place_market_order:639 | Placing order OP-USDT-SWAP sell qty=27553.0 attached_stop=True attached_stop_px=0.1026
2026-03-29 15:37:18,430 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to SUI-USDT-SWAP (isolated)
