time,balance_total,balance_available,balance_used
2026-03-23 20:44:09,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:44:24,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:44:39,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:44:55,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:45:10,86237.15452772308,86263.89633558711,0.0
2026-03-23 20:45:25,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:45:40,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:45:56,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:46:11,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:46:26,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:46:41,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:46:56,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:47:12,86237.15452772308,86263.89633558711,0.0
2026-03-23 20:47:27,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:47:42,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:47:57,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:48:13,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:48:28,86237.15452772308,86263.89633558711,0.0
2026-03-23 20:48:43,86237.15452772308,86263.89633558711,0.0
2026-03-23 20:48:58,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:49:14,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:49:29,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:49:44,86237.15452772308,86263.89633558711,0.0
2026-03-23 20:49:59,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:50:14,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:50:30,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:50:45,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:51:00,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:51:15,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:51:31,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:51:46,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:52:01,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:52:16,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:52:32,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:52:47,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:53:02,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:53:17,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:53:32,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:53:48,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:54:03,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:54:18,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:54:33,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:54:49,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:55:04,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:55:19,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:55:34,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:55:50,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:56:05,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:56:20,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:56:35,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:56:50,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:57:06,86238.01716668643,86263.89633558711,0.0
2026-03-23 20:57:21,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:57:36,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:57:51,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:58:07,86236.29188875972,86263.89633558711,0.0
2026-03-23 20:58:22,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:58:37,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:58:52,86240.6050835765,86263.89633558711,0.0
2026-03-23 20:59:07,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:59:23,86238.87980564979,86263.89633558711,0.0
2026-03-23 20:59:38,86239.74244461315,86263.89633558711,0.0
2026-03-23 20:59:53,86238.01716668643,86263.89633558711,0.0
