category,extra,message,severity,source,time,title,traceback
logging,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,ERROR,logging:root,2026-03-23 20:58:57,Market-data worker fetch failed for 1INCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
logging,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 298}",Scanner refresh temporary failure for COAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,ERROR,logging:root,2026-03-23 20:58:57,Scanner refresh temporary failure for COAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
