cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.301,False,,False,short,5m,2026-03-23 20:54:55
False,reentry_check,True,ok,NEO-USDT-SWAP,2.686,False,,False,long,5m,2026-03-23 20:54:56
False,reentry_check,True,ok,NEO-USDT-SWAP,2.686,False,,False,short,5m,2026-03-23 20:54:56
False,reentry_check,True,ok,OP-USDT-SWAP,0.1144,False,,False,long,5m,2026-03-23 20:54:59
False,reentry_check,True,ok,OP-USDT-SWAP,0.1144,False,,False,short,5m,2026-03-23 20:54:59
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.868,False,,False,long,5m,2026-03-23 20:55:02
False,reentry_check,True,ok,QTUM-USDT-SWAP,0.868,False,,False,short,5m,2026-03-23 20:55:02
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0801,False,,False,long,5m,2026-03-23 20:55:06
False,reentry_check,True,ok,SAND-USDT-SWAP,0.0801,False,,False,short,5m,2026-03-23 20:55:06
False,reentry_check,True,ok,XAG-USDT-SWAP,69.61,False,,False,long,5m,2026-03-23 20:55:28
False,reentry_check,True,ok,XAG-USDT-SWAP,69.61,False,,False,short,5m,2026-03-23 20:55:28
False,reentry_check,True,ok,XTZ-USDT-SWAP,0.3886,False,,False,long,5m,2026-03-23 20:55:35
False,reentry_check,True,ok,XTZ-USDT-SWAP,0.3886,False,,False,short,5m,2026-03-23 20:55:35
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0384,False,,False,long,5m,2026-03-23 20:55:38
False,reentry_check,True,ok,YGG-USDT-SWAP,0.0384,False,,False,short,5m,2026-03-23 20:55:38
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,,False,long,5m,2026-03-23 20:56:04
False,reentry_check,True,ok,1INCH-USDT-SWAP,0.0937,False,,False,short,5m,2026-03-23 20:56:04
False,reentry_check,True,ok,ARB-USDT-SWAP,0.0947,False,,False,long,5m,2026-03-23 20:56:13
False,reentry_check,True,ok,ARB-USDT-SWAP,0.0947,False,,False,short,5m,2026-03-23 20:56:13
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6641,False,,False,long,5m,2026-03-23 20:56:15
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6641,False,,False,short,5m,2026-03-23 20:56:15
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.817,False,,False,long,5m,2026-03-23 20:56:18
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.817,False,,False,short,5m,2026-03-23 20:56:18
,reentry_check,True,scan,AUCTION-USDT-SWAP,4.817,False,0.0,,scan,5m,2026-03-23 20:56:18
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,,False,long,5m,2026-03-23 20:56:20
False,reentry_check,True,ok,AXS-USDT-SWAP,1.0538,False,,False,short,5m,2026-03-23 20:56:20
False,reentry_check,True,ok,BCH-USDT-SWAP,476.4,False,,False,long,5m,2026-03-23 20:56:23
False,reentry_check,True,ok,BCH-USDT-SWAP,476.4,False,,False,short,5m,2026-03-23 20:56:23
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06012,False,,False,long,5m,2026-03-23 20:56:35
False,reentry_check,True,ok,CFX-USDT-SWAP,0.06012,False,,False,short,5m,2026-03-23 20:56:35
