cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01368,False,,False,long,5m,2026-03-24 22:05:36
False,reentry_check,True,ok,ACT-USDT-SWAP,0.01368,False,,False,short,5m,2026-03-24 22:05:36
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,long,5m,2026-03-24 22:05:40
False,reentry_check,True,ok,ALGO-USDT-SWAP,0.0859,False,,False,short,5m,2026-03-24 22:05:40
False,reentry_check,True,ok,ARB-USDT-SWAP,0.096,False,,False,long,5m,2026-03-24 22:05:41
False,reentry_check,True,ok,ARB-USDT-SWAP,0.096,False,,False,short,5m,2026-03-24 22:05:41
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,ASTER-USDT-SWAP,0.6611,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.703,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,AUCTION-USDT-SWAP,4.703,False,,False,short,5m,2026-03-24 22:05:43
,reentry_check,True,scan,AUCTION-USDT-SWAP,4.703,False,0.0,,scan,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,AVAX-USDT-SWAP,9.41,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,AVAX-USDT-SWAP,9.41,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BCH-USDT-SWAP,473.1,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BCH-USDT-SWAP,473.1,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BNB-USDT-SWAP,631.0,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BNB-USDT-SWAP,631.0,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000408,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BOME-USDT-SWAP,0.000408,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BTC-USDT-SWAP,69499.6,False,,False,long,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,BTC-USDT-SWAP,69499.6,False,,False,short,5m,2026-03-24 22:05:43
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03564,False,,False,long,5m,2026-03-24 22:05:48
False,reentry_check,True,ok,CHZ-USDT-SWAP,0.03564,False,,False,short,5m,2026-03-24 22:05:48
False,reentry_check,True,ok,COMP-USDT-SWAP,19.24,False,,False,long,5m,2026-03-24 22:05:50
False,reentry_check,True,ok,COMP-USDT-SWAP,19.24,False,,False,short,5m,2026-03-24 22:05:50
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2202,False,,False,long,5m,2026-03-24 22:05:52
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2202,False,,False,short,5m,2026-03-24 22:05:52
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09305,False,,False,long,5m,2026-03-24 22:05:53
False,reentry_check,True,ok,DOGE-USDT-SWAP,0.09305,False,,False,short,5m,2026-03-24 22:05:53
False,reentry_check,True,ok,DOT-USDT-SWAP,1.371,False,,False,long,5m,2026-03-24 22:05:55
False,reentry_check,True,ok,DOT-USDT-SWAP,1.371,False,,False,short,5m,2026-03-24 22:05:55
False,reentry_check,True,ok,ETC-USDT-SWAP,8.48,False,,False,long,5m,2026-03-24 22:05:58
False,reentry_check,True,ok,ETC-USDT-SWAP,8.48,False,,False,short,5m,2026-03-24 22:05:58
False,reentry_check,True,ok,FIL-USDT-SWAP,0.913,False,,False,long,5m,2026-03-24 22:06:01
False,reentry_check,True,ok,FIL-USDT-SWAP,0.913,False,,False,short,5m,2026-03-24 22:06:01
,reentry_check,True,scan,FIL-USDT-SWAP,0.913,False,0.0,,scan,5m,2026-03-24 22:06:01
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01042,False,,False,long,5m,2026-03-24 22:06:03
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01042,False,,False,short,5m,2026-03-24 22:06:03
False,reentry_check,True,ok,ICP-USDT-SWAP,2.352,False,,False,long,5m,2026-03-24 22:06:09
False,reentry_check,True,ok,ICP-USDT-SWAP,2.352,False,,False,short,5m,2026-03-24 22:06:09
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1524,False,,False,long,5m,2026-03-24 22:06:10
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1524,False,,False,short,5m,2026-03-24 22:06:10
False,reentry_check,True,ok,INJ-USDT-SWAP,3.006,False,,False,long,5m,2026-03-24 22:06:11
False,reentry_check,True,ok,INJ-USDT-SWAP,3.006,False,,False,short,5m,2026-03-24 22:06:11
False,reentry_check,True,ok,JUP-USDT-SWAP,0.152,False,,False,long,5m,2026-03-24 22:06:13
False,reentry_check,True,ok,JUP-USDT-SWAP,0.152,False,,False,short,5m,2026-03-24 22:06:13
False,reentry_check,True,ok,KSM-USDT-SWAP,4.381,False,,False,long,5m,2026-03-24 22:06:15
False,reentry_check,True,ok,KSM-USDT-SWAP,4.381,False,,False,short,5m,2026-03-24 22:06:15
False,reentry_check,True,ok,LDO-USDT-SWAP,0.2894,False,,False,long,5m,2026-03-24 22:06:16
False,reentry_check,True,ok,LDO-USDT-SWAP,0.2894,False,,False,short,5m,2026-03-24 22:06:16
False,reentry_check,True,ok,LINK-USDT-SWAP,9.08,False,,False,long,5m,2026-03-24 22:06:19
False,reentry_check,True,ok,LINK-USDT-SWAP,9.08,False,,False,short,5m,2026-03-24 22:06:19
False,reentry_check,True,ok,LIT-USDT-SWAP,0.977,False,,False,long,5m,2026-03-24 22:06:20
False,reentry_check,True,ok,LIT-USDT-SWAP,0.977,False,,False,short,5m,2026-03-24 22:06:20
False,reentry_check,True,ok,LTC-USDT-SWAP,55.69,False,,False,long,5m,2026-03-24 22:06:23
False,reentry_check,True,ok,LTC-USDT-SWAP,55.69,False,,False,short,5m,2026-03-24 22:06:23
False,reentry_check,True,ok,MET-USDT-SWAP,0.1339,False,,False,long,5m,2026-03-24 22:06:26
False,reentry_check,True,ok,MET-USDT-SWAP,0.1339,False,,False,short,5m,2026-03-24 22:06:26
False,reentry_check,True,ok,MINA-USDT-SWAP,0.05744,False,,False,long,5m,2026-03-24 22:06:28
False,reentry_check,True,ok,MINA-USDT-SWAP,0.05744,False,,False,short,5m,2026-03-24 22:06:28
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.2916,False,,False,long,5m,2026-03-24 22:06:31
False,reentry_check,True,ok,NEAR-USDT-SWAP,1.2916,False,,False,short,5m,2026-03-24 22:06:31
,reentry_check,True,scan,NEAR-USDT-SWAP,1.2916,False,0.0,,scan,5m,2026-03-24 22:06:31
False,reentry_check,True,ok,OP-USDT-SWAP,0.11127,False,,False,long,5m,2026-03-24 22:06:34
False,reentry_check,True,ok,OP-USDT-SWAP,0.11127,False,,False,short,5m,2026-03-24 22:06:34
