time,balance_total,balance_available,balance_used
2026-03-16 17:12:38,44269.94707609346,37429.58279163853,6829.742046493776
2026-03-16 17:12:43,44264.66822744455,37429.58279163853,6826.6767464937775
2026-03-16 17:12:49,44248.4334549064,37429.58279163853,6811.7720464937765
2026-03-16 17:12:54,44248.33042385155,37429.58279163853,6810.342046493776
2026-03-16 17:12:59,44248.434755499926,37429.58279163853,6810.0040464937765
2026-03-16 17:13:05,44241.31156292831,37429.58279163853,6802.440046493777
2026-03-16 17:13:10,44239.58028495993,37429.58279163853,6801.151346493777
2026-03-16 17:13:16,44239.7204575187,36986.14145922186,7245.175048160438
2026-03-16 17:13:21,44238.488302207625,36589.67932338852,7640.847483993771
2026-03-16 17:13:26,44240.22857044181,36488.489031955185,7743.335491827103
2026-03-16 17:13:32,44239.94593813487,36487.99529245519,7743.988888527104
2026-03-16 17:13:37,44207.58996754579,36488.37533767519,7710.374879827103
2026-03-16 17:13:42,44182.38537039596,36488.37533767519,7684.733679827103
2026-03-16 17:13:48,44168.90523935014,36488.37533767519,7670.814879827102
2026-03-16 17:13:53,44170.686829231665,36488.37533767519,7671.271579827101
2026-03-16 17:13:58,44171.34647630414,36488.37533767519,7673.255579827101
2026-03-16 17:14:04,44169.34736349081,36578.70300888922,7582.253772813073
2026-03-16 17:14:09,44125.36162717411,36760.04718426167,7356.05006249063
2026-03-16 17:14:14,44128.265234646045,36760.679524599705,7359.6440518025875
2026-03-16 17:14:20,44129.5697463451,36760.679524599705,7359.183851802586
2026-03-16 17:14:25,44141.47215812809,36761.93079857579,7370.714830426503
2026-03-16 17:14:30,44158.764020272676,36761.93079857579,7387.120430426501
2026-03-16 17:14:36,44156.67319975951,36761.93079857579,7386.795630426502
2026-03-16 17:14:41,44155.94166319522,36761.93079857579,7386.505630426501
2026-03-16 17:14:47,44152.95709723179,36761.93079857579,7382.638830426502
2026-03-16 17:14:52,44152.3353318723,37012.72610189609,7129.897852706199
2026-03-16 17:14:57,44138.712316837664,37012.72610189609,7117.601452706202
2026-03-16 17:15:03,44139.819579012306,37012.72610189609,7117.3848527062
2026-03-16 17:15:08,44139.534516312306,37012.72610189609,7117.099852706201
2026-03-16 17:15:14,44137.77733922566,37012.72610189609,7116.666652706202
2026-03-16 17:15:19,44136.60464215555,37013.92354897218,7114.296731330115
2026-03-16 17:15:24,44136.15255747071,37014.520071410225,7112.807020642073
