components,components_down,duration_prev_state_sec,duration_sec,ended_at,event,from_state,last_error,open_positions,peak_state,recovered_to,start_state,started_at,to_state,ts
"{'public': {'ok': True, 'latency_ms': 366.2, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 242.3, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 435.5, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 336.1, 'error_type': ''}, 'ws_public': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}, 'ws_private': {'ok': False, 'latency_ms': 0.0, 'error_type': 'WsDegraded'}}","['ws_public', 'ws_private']",1.428,,,CONNECTIVITY_STATE_CHANGED,IDLE,,,,,,,DEGRADED,2026-03-24 20:39:56
,"['ws_public', 'ws_private']",,,,CONNECTIVITY_INCIDENT_STARTED,,,,,,DEGRADED,2026-03-24 20:39:56,,2026-03-24 20:39:56
"{'public': {'ok': True, 'latency_ms': 467.5, 'error_type': ''}, 'private': {'ok': True, 'latency_ms': 311.0, 'error_type': ''}, 'trade': {'ok': True, 'latency_ms': 415.4, 'error_type': ''}, 'market_data': {'ok': True, 'latency_ms': 240.4, 'error_type': ''}, 'ws_public': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}, 'ws_private': {'ok': True, 'latency_ms': 0.0, 'error_type': ''}}",[],7.097,,,CONNECTIVITY_STATE_CHANGED,DEGRADED,,,,,,,RECOVERING,2026-03-24 20:40:03
,[],,7.116,2026-03-24 20:40:03,CONNECTIVITY_INCIDENT_CLOSED,,,,DEGRADED,RECOVERING,DEGRADED,2026-03-24 20:39:56,,2026-03-24 20:40:03
,,,,,CONNECTIVITY_RECOVERY_COMPLETED,,,0,,,,,,2026-03-24 20:40:03
