current_price,error_code,error_msg,event,inst_id,requested_stop,response,side,trade_id,ts
0.0,,initial_atr_stop,STOP_ERROR,COMP-USDT-SWAP,19.63,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193252_COMP-USDT-SWAP_long,2026-03-25 19:32:56
0.0,,initial_atr_stop,STOP_ERROR,FIL-USDT-SWAP,0.932,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193256_FIL-USDT-SWAP_long,2026-03-25 19:33:00
0.0,,initial_atr_stop,STOP_ERROR,AAVE-USDT-SWAP,114.64,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193317_AAVE-USDT-SWAP_long,2026-03-25 19:33:21
0.0,,initial_stop_verify_recover,STOP_ERROR,COMP-USDT-SWAP,19.63,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193252_COMP-USDT-SWAP_long,2026-03-25 19:33:49
0.0,,health_restore,STOP_ERROR,COMP-USDT-SWAP,19.63,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193252_COMP-USDT-SWAP_long,2026-03-25 19:33:57
0.0,,initial_stop_verify_recover,STOP_ERROR,FIL-USDT-SWAP,0.932,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193256_FIL-USDT-SWAP_long,2026-03-25 19:34:47
0.0,,health_restore,STOP_ERROR,FIL-USDT-SWAP,0.932,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193256_FIL-USDT-SWAP_long,2026-03-25 19:34:55
0.0,,closed_candle_no_change_reconcile,STOP_ERROR,FIL-USDT-SWAP,0.932,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193256_FIL-USDT-SWAP_long,2026-03-25 19:35:12
0.0,,initial_stop_verify_recover,STOP_ERROR,AAVE-USDT-SWAP,114.64,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193317_AAVE-USDT-SWAP_long,2026-03-25 19:36:35
0.0,,health_restore,STOP_ERROR,AAVE-USDT-SWAP,114.64,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193317_AAVE-USDT-SWAP_long,2026-03-25 19:36:43
0.0,,closed_candle_no_change_reconcile,STOP_ERROR,AAVE-USDT-SWAP,114.64,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51304"", ""sMsg"": ""SL trigger price cannot be higher than the mark price "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193317_AAVE-USDT-SWAP_long,2026-03-25 19:37:00
0.932,,market_already_crossed_stop,STOP_REJECTED,FIL-USDT-SWAP,0.932,{},long,20260325_193256_FIL-USDT-SWAP_long,2026-03-25 19:40:20
0.1538,,atr_update,STOP_ERROR,IMX-USDT-SWAP,0.1534,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193301_IMX-USDT-SWAP_long,2026-03-25 19:40:25
649.2,,atr_update,STOP_ERROR,BNB-USDT-SWAP,646.7,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193249_BNB-USDT-SWAP_long,2026-03-25 19:43:25
0.1538,,health_align,STOP_ERROR,IMX-USDT-SWAP,0.1534,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""reqId"": """", ""sCode"": ""51003"", ""sMsg"": ""Either client order ID or order ID is required.""}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193301_IMX-USDT-SWAP_long,2026-03-25 19:43:27
115.51,,manage_cycle_reconcile,STOP_MISSING,AAVE-USDT-SWAP,114.66,"{""code"": ""1"", ""data"": [{""algoClOrdId"": """", ""algoId"": """", ""clOrdId"": """", ""sCode"": ""51023"", ""sMsg"": ""Position doesn't exist. "", ""tag"": """"}], ""msg"": """", ""newCode"": """", ""traceId"": """"}",long,20260325_193317_AAVE-USDT-SWAP_long,2026-03-25 19:43:50
