time,balance_total,balance_available,balance_used
2026-03-25 19:27:48,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:28:04,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:28:19,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:28:34,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:28:49,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:29:04,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:29:20,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:29:35,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:29:50,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:30:05,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:30:21,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:30:36,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:30:51,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:31:06,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:31:21,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:31:37,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:31:52,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:32:07,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:32:22,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:32:38,83487.8528492196,83513.74210927349,0.0
2026-03-25 19:32:53,83481.44558658697,82538.78219310682,968.5506666666665
2026-03-25 19:33:08,83430.53117519888,79674.49236002349,3781.9102999999927
2026-03-25 19:33:23,83414.24539406656,77273.22728873348,6166.884539999988
2026-03-25 19:33:38,83389.98822996927,76370.25742925015,7045.589713333322
2026-03-25 19:33:54,83409.56889807987,76370.25742925015,7065.1764533333235
2026-03-25 19:34:09,83390.93895515306,76370.25742925015,7046.540733333321
2026-03-25 19:34:24,83402.94711766834,77329.27819545016,6099.531853333321
2026-03-25 19:34:39,83397.01449735095,77329.27819545016,6093.597393333322
2026-03-25 19:34:55,83400.86886042789,78234.32319375016,5192.4079533333215
2026-03-25 19:35:10,83401.22409027247,78234.32319375016,5192.763293333322
2026-03-25 19:35:25,83392.97579008844,77290.05694913349,6128.778679999982
2026-03-25 19:35:40,83401.04804691284,77290.05694913349,6136.853439999982
2026-03-25 19:35:56,83395.34283607664,77290.05694913349,6131.146459999982
2026-03-25 19:36:11,83399.05768411665,77290.05694913349,6134.862459999981
2026-03-25 19:36:26,83391.00396154485,77290.05694913349,6126.806239999982
2026-03-25 19:36:41,83392.13243161065,77290.05694913349,6127.9350599999825
2026-03-25 19:36:56,83394.94685886765,77290.05694913349,6130.750359999982
2026-03-25 19:37:12,83394.87646069784,77290.05694913349,6130.679939999982
2026-03-25 19:37:27,83395.07759832584,77290.05694913349,6130.881139999982
2026-03-25 19:37:42,83396.97001149584,77290.05694913349,6132.774139999982
2026-03-25 19:37:57,83403.44426385524,77290.05694913349,6139.250399999982
2026-03-25 19:38:13,83396.26796919644,77290.05694913349,6132.071879999982
2026-03-25 19:38:28,83389.02803427224,77290.05694913349,6124.829699999982
2026-03-25 19:38:43,83390.74094310583,77290.05694913349,6126.543139999982
2026-03-25 19:38:58,83396.53280707124,77290.05694913349,6132.336799999982
2026-03-25 19:39:13,83388.10863937304,77290.05694913349,6123.910019999982
2026-03-25 19:39:29,83388.28274538345,77290.05694913349,6124.084179999983
2026-03-25 19:39:44,83400.36573849405,77290.05694913349,6136.170919999981
2026-03-25 19:39:59,83398.73410445744,77290.05694913349,6134.538779999983
2026-03-25 19:40:14,83393.05188649124,77290.05694913349,6128.854799999981
2026-03-25 19:40:30,83410.93710055556,78224.18390933349,5212.6185999999825
2026-03-25 19:40:45,83414.99328274917,78224.18390933349,5216.676039999982
2026-03-25 19:41:00,83435.17366494075,79125.99574271683,4335.050846666649
2026-03-25 19:41:15,83429.28479105775,79125.99574271683,4329.160146666649
2026-03-25 19:41:30,83428.84110864197,79125.99574271683,4328.7163266666485
2026-03-25 19:41:46,83433.28411088417,79125.99574271683,4333.160706666649
2026-03-25 19:42:01,83427.05402281035,79125.99574271683,4326.928686666649
2026-03-25 19:42:16,83427.06020089456,79125.99574271683,4326.934866666648
2026-03-25 19:42:31,83431.49702505255,79125.99574271683,4331.373066666649
2026-03-25 19:42:47,83427.94138764196,79125.99574271683,4327.816326666649
2026-03-25 19:43:02,83428.39124814197,79125.99574271683,4328.266326666649
2026-03-25 19:43:17,83427.49770522615,79125.99574271683,4327.372506666648
2026-03-25 19:43:32,83419.53253519455,78201.09046271682,5244.310146666649
2026-03-25 19:43:48,83416.42675828397,78201.09046271682,5241.20340666665
2026-03-25 19:44:03,83421.15821107876,78201.09046271682,5245.93632666665
2026-03-25 19:44:18,83417.47553306296,78201.09046271682,5242.252506666649
2026-03-25 19:44:33,83418.79422414195,78201.09046271682,5243.571606666649
2026-03-25 19:44:48,83427.72617437875,78201.09046271682,5252.506326666649
2026-03-25 19:45:04,83425.36218744195,78201.09046271682,5250.141606666649
2026-03-25 19:45:19,83421.24818317876,78201.09046271682,5246.026326666649
2026-03-25 19:45:34,83423.15613153136,78201.09046271682,5247.934866666649
2026-03-25 19:45:49,83418.92730287476,78201.09046271682,5243.704726666649
2026-03-25 19:46:05,83420.36685647476,78201.09046271682,5245.144726666648
